play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8471260,1,01:13,0,0,2.0,-4.0
SHOT,8477450,1,01:53,0,0,82.0,23.0
SHOT,8475906,1,02:09,0,0,62.0,34.0
GIVEAWAY,8476467,1,02:38,0,0,-53.0,-26.0
SHOT,8470621,1,03:44,0,0,82.0,12.0
GIVEAWAY,8480036,1,04:42,0,0,-78.0,40.0
GIVEAWAY,8473994,1,04:53,0,0,29.0,38.0
TAKEAWAY,8480036,1,06:17,0,0,-48.0,40.0
TAKEAWAY,8471699,1,07:18,0,0,9.0,-2.0
GIVEAWAY,8475906,1,10:24,0,0,-17.0,28.0
TAKEAWAY,8471260,1,10:36,0,0,72.0,-2.0
GIVEAWAY,8476467,1,13:40,0,1,-97.0,-9.0
SHOT,8471284,1,14:44,0,1,78.0,9.0
GIVEAWAY,8471699,1,15:45,0,1,-47.0,-31.0
SHOT,8477406,1,16:22,0,1,79.0,-11.0
SHOT,8480036,1,16:44,0,1,36.0,0.0
SHOT,8475413,1,16:46,0,1,86.0,17.0
SHOT,8475413,1,16:48,0,1,76.0,10.0
TAKEAWAY,8478495,1,17:14,0,1,42.0,-18.0
GOAL,8478495,1,17:21,1,1,78.0,8.0
TAKEAWAY,8476467,1,18:38,1,1,-39.0,-34.0
GIVEAWAY,8477406,2,02:06,1,1,30.0,-13.0
SHOT,8470794,2,02:10,1,1,61.0,14.0
TAKEAWAY,8477406,2,02:14,1,1,29.0,-1.0
SHOT,8470621,2,02:42,1,1,82.0,-11.0
TAKEAWAY,8470621,2,02:50,1,1,31.0,40.0
TAKEAWAY,8471228,2,03:15,1,1,99.0,-8.0
SHOT,8476889,2,03:54,1,1,21.0,34.0
SHOT,8470794,2,04:18,1,1,76.0,-1.0
GIVEAWAY,8476889,2,06:13,1,2,89.0,-17.0
SHOT,8475906,2,06:30,1,2,52.0,1.0
SHOT,8476902,2,07:05,1,2,44.0,30.0
SHOT,8477450,2,07:36,1,2,76.0,-37.0
SHOT,8471260,2,07:40,1,2,71.0,0.0
SHOT,8480036,2,07:44,1,2,38.0,6.0
SHOT,8480036,2,07:55,1,2,85.0,-9.0
TAKEAWAY,8477450,2,09:05,1,2,-45.0,-22.0
SHOT,8471260,2,09:53,1,2,52.0,7.0
SHOT,8476902,2,10:41,1,2,37.0,25.0
GIVEAWAY,8476467,2,11:38,1,2,-14.0,37.0
GIVEAWAY,8476467,2,11:56,1,2,-97.0,1.0
SHOT,8475794,2,13:05,1,3,79.0,1.0
GIVEAWAY,8470794,2,15:24,1,3,-60.0,-40.0
GIVEAWAY,8477450,2,15:43,1,3,-71.0,1.0
SHOT,8475794,2,16:08,1,3,67.0,-24.0
GIVEAWAY,8471392,2,17:41,1,3,-70.0,-40.0
GIVEAWAY,8471392,2,18:09,1,3,-41.0,35.0
GOAL,8471228,2,19:02,2,3,76.0,11.0
SHOT,8476902,3,00:48,2,3,37.0,-14.0
SHOT,8476889,3,00:51,2,3,76.0,-1.0
SHOT,8471392,3,01:56,2,3,37.0,21.0
SHOT,8475906,3,04:02,2,4,37.0,24.0
GOAL,8471228,3,06:26,3,4,78.0,-9.0
TAKEAWAY,8477406,3,10:43,3,4,-16.0,40.0
TAKEAWAY,8476902,3,11:11,3,4,-56.0,-39.0
SHOT,8475794,3,14:32,3,4,70.0,-17.0
SHOT,8477406,3,16:21,3,4,75.0,-20.0
GIVEAWAY,8476467,3,17:01,3,4,65.0,-35.0
GIVEAWAY,8471228,3,17:55,3,4,-78.0,34.0
TAKEAWAY,8475906,3,17:59,3,4,-92.0,13.0
TAKEAWAY,8475906,3,18:26,3,4,33.0,16.0
SHOT,8480036,3,19:30,3,4,41.0,15.0
SHOT,8473994,3,19:49,3,4,58.0,-15.0
