play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8471260,1,02:05,0,0,67.0,13.0
SHOT,8478495,1,03:46,0,0,81.0,-16.0
SHOT,8470794,1,05:08,0,0,59.0,24.0
SHOT,8473994,1,05:56,0,0,49.0,14.0
GIVEAWAY,8476467,1,07:17,0,0,-60.0,-39.0
GOAL,8473994,1,07:53,1,0,79.0,1.0
SHOT,8470621,1,08:11,1,0,50.0,-1.0
GIVEAWAY,8476889,1,09:09,1,0,81.0,-38.0
SHOT,8471392,1,10:00,1,0,79.0,-2.0
TAKEAWAY,8471228,1,10:02,1,0,66.0,8.0
SHOT,8471392,1,10:21,1,0,42.0,19.0
GIVEAWAY,8470794,1,13:19,1,0,-41.0,38.0
SHOT,8475794,1,15:10,1,0,76.0,0.0
SHOT,8475794,1,15:17,1,0,84.0,-6.0
TAKEAWAY,8476902,1,16:00,1,0,-55.0,-40.0
GIVEAWAY,8470794,1,17:31,1,0,-0.0,25.0
SHOT,8478495,1,19:51,1,0,79.0,-4.0
GIVEAWAY,8473994,2,02:55,1,0,96.0,-10.0
SHOT,8475794,2,03:29,1,0,34.0,-24.0
TAKEAWAY,8475413,2,09:12,1,0,99.0,-9.0
SHOT,8470621,2,09:57,1,0,74.0,-1.0
GOAL,8473994,2,09:59,2,0,87.0,-20.0
GIVEAWAY,8473994,2,11:39,2,1,-34.0,37.0
SHOT,8476889,2,12:11,2,1,61.0,30.0
SHOT,8476166,2,13:36,2,1,68.0,-1.0
GOAL,8476166,2,13:37,3,1,85.0,-5.0
SHOT,8475794,2,14:00,3,1,58.0,-11.0
GIVEAWAY,8471284,2,15:09,3,1,-92.0,-8.0
SHOT,8476889,2,15:22,3,1,32.0,22.0
SHOT,8475794,2,18:08,3,1,73.0,-11.0
SHOT,8475413,2,18:20,3,1,73.0,11.0
TAKEAWAY,8473994,3,00:29,3,1,-34.0,-40.0
SHOT,8473994,3,00:46,3,1,78.0,3.0
GOAL,8480036,3,02:44,4,1,85.0,17.0
SHOT,8476166,3,03:09,4,1,44.0,22.0
SHOT,8476902,3,03:14,4,1,40.0,-24.0
GOAL,8475413,3,03:26,5,1,82.0,-2.0
TAKEAWAY,8471260,3,03:52,5,1,99.0,12.0
GIVEAWAY,8476166,3,05:52,5,1,-32.0,41.0
GIVEAWAY,8476166,3,06:01,5,1,-96.0,26.0
SHOT,8473994,3,06:28,5,1,65.0,-22.0
SHOT,8471699,3,07:12,5,1,25.0,5.0
GIVEAWAY,8478495,3,08:15,5,1,-16.0,39.0
GOAL,8470621,3,08:29,6,1,77.0,-4.0
GIVEAWAY,8475794,3,10:05,6,1,-80.0,39.0
SHOT,8479381,3,11:27,6,1,49.0,22.0
GIVEAWAY,8471699,3,13:31,6,1,-40.0,40.0
SHOT,8471284,3,15:11,6,1,56.0,-29.0
TAKEAWAY,8475413,3,16:28,6,1,-95.0,-24.0
TAKEAWAY,8476467,3,17:39,6,1,-34.0,-36.0
GIVEAWAY,8470621,3,17:43,6,1,38.0,-33.0
