play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8480036,1,01:12,0,0,78.0,18.0
SHOT,8470621,1,01:58,0,0,72.0,3.0
SHOT,8470621,1,02:07,0,0,84.0,-9.0
GIVEAWAY,8473994,1,02:59,0,0,-44.0,40.0
SHOT,8475794,1,03:42,0,0,21.0,-2.0
SHOT,8478449,1,03:52,0,0,73.0,10.0
SHOT,8471284,1,05:54,0,0,36.0,-15.0
GIVEAWAY,8477406,1,07:33,0,0,61.0,41.0
SHOT,8480036,1,10:53,0,0,32.0,19.0
SHOT,8475794,1,11:02,0,0,37.0,23.0
SHOT,8471392,1,13:16,0,0,41.0,17.0
SHOT,8471284,1,14:31,0,0,51.0,27.0
SHOT,8470621,1,14:46,0,0,82.0,-5.0
GIVEAWAY,8476902,1,15:16,0,0,-54.0,-35.0
SHOT,8476889,1,16:19,0,0,78.0,3.0
SHOT,8471392,1,16:19,0,0,84.0,4.0
GIVEAWAY,8475906,1,17:50,0,0,4.0,-33.0
GOAL,8473994,1,18:27,1,0,48.0,-20.0
SHOT,8471260,2,00:18,1,0,62.0,-40.0
SHOT,8476467,2,00:22,1,0,34.0,32.0
GIVEAWAY,8476467,2,00:42,1,0,-83.0,37.0
SHOT,8473994,2,01:50,1,0,-21.0,-26.0
SHOT,8478449,2,02:22,1,0,32.0,35.0
TAKEAWAY,8477450,2,04:18,1,0,-67.0,0.0
TAKEAWAY,8476889,2,05:02,1,0,-58.0,39.0
TAKEAWAY,8470794,2,05:36,1,0,-14.0,-27.0
SHOT,8478449,2,06:43,1,0,75.0,6.0
GIVEAWAY,8471260,2,07:32,1,0,-95.0,26.0
TAKEAWAY,8476467,2,07:36,1,0,-63.0,41.0
SHOT,8476889,2,08:00,1,0,76.0,-7.0
GOAL,8478495,2,09:25,2,0,52.0,-29.0
SHOT,8475794,2,10:13,2,0,82.0,3.0
GIVEAWAY,8477450,2,11:17,2,0,5.0,25.0
SHOT,8477406,2,12:10,2,0,81.0,0.0
SHOT,8471260,2,13:35,2,0,83.0,2.0
SHOT,8471260,2,13:36,2,0,82.0,3.0
SHOT,8470794,2,14:47,2,0,70.0,-15.0
GIVEAWAY,8475413,2,14:51,2,0,58.0,38.0
TAKEAWAY,8475413,2,15:13,2,0,-47.0,-15.0
SHOT,8480036,2,15:59,2,0,36.0,0.0
SHOT,8473994,2,16:00,2,0,80.0,2.0
GIVEAWAY,8471750,2,17:26,2,0,-96.0,-22.0
SHOT,8475794,2,17:59,2,0,60.0,-25.0
SHOT,8471284,2,18:08,2,0,40.0,-24.0
GIVEAWAY,8480036,3,05:27,2,1,34.0,-4.0
GIVEAWAY,8475906,3,05:48,2,1,-98.0,16.0
TAKEAWAY,8477450,3,07:10,2,1,-19.0,8.0
GIVEAWAY,8477450,3,07:27,2,1,-7.0,0.0
SHOT,8478495,3,08:15,2,1,41.0,-31.0
GIVEAWAY,8478495,3,08:21,2,1,81.0,39.0
SHOT,8471284,3,09:30,2,1,64.0,-23.0
SHOT,8475906,3,09:55,2,1,43.0,24.0
GIVEAWAY,8471284,3,10:01,2,1,31.0,-37.0
GIVEAWAY,8476889,3,10:57,2,1,-34.0,-31.0
GIVEAWAY,8480036,3,13:56,2,1,-60.0,40.0
GIVEAWAY,8475794,3,17:43,2,1,6.0,27.0
GIVEAWAY,8478495,3,18:19,2,1,-57.0,40.0
TAKEAWAY,8476902,3,18:39,2,1,-59.0,-36.0
SHOT,8473994,4,00:16,2,2,41.0,-9.0
SHOT,8475794,4,00:17,2,2,81.0,1.0
TAKEAWAY,8470794,4,01:05,2,2,82.0,29.0
SHOT,8475906,4,01:11,2,2,83.0,7.0
SHOT,8475794,4,01:30,2,2,61.0,17.0
SHOT,8475794,4,02:00,2,2,65.0,17.0
GOAL,8470794,4,02:02,3,2,81.0,0.0
