play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8477406,1,01:12,0,0,68.0,-9.0
SHOT,8476467,1,01:24,0,0,50.0,-16.0
GIVEAWAY,8471260,1,01:57,0,0,-6.0,34.0
SHOT,8475906,1,02:25,0,0,40.0,21.0
SHOT,8473994,1,02:28,0,0,74.0,-8.0
GIVEAWAY,8473994,1,04:21,0,0,98.0,17.0
SHOT,8476902,1,04:54,0,0,40.0,-3.0
SHOT,8471699,1,05:03,0,0,54.0,-26.0
TAKEAWAY,8478449,1,06:24,0,0,-59.0,40.0
GIVEAWAY,8478449,1,06:36,0,0,-98.0,-2.0
GIVEAWAY,8476902,1,09:56,0,0,-98.0,-22.0
GIVEAWAY,8477450,1,11:34,0,0,23.0,-39.0
GIVEAWAY,8470621,1,11:58,0,0,-70.0,0.0
TAKEAWAY,8476467,1,12:03,0,0,-98.0,0.0
GIVEAWAY,8476467,1,12:06,0,0,-98.0,5.0
SHOT,8471228,1,13:17,0,0,79.0,-6.0
SHOT,8478449,1,14:04,0,0,62.0,16.0
SHOT,8476889,1,14:24,0,0,68.0,-30.0
SHOT,8475730,1,14:28,0,0,49.0,-30.0
SHOT,8471699,1,14:54,0,0,69.0,9.0
SHOT,8478495,1,15:12,0,0,75.0,18.0
GOAL,8470794,1,15:28,1,0,72.0,-7.0
SHOT,8473994,1,16:03,1,0,40.0,-25.0
SHOT,8473994,1,18:26,1,0,65.0,-32.0
SHOT,8475794,1,19:05,1,0,56.0,23.0
GIVEAWAY,8475906,2,00:16,1,0,-80.0,40.0
GIVEAWAY,8471228,2,01:27,1,0,72.0,-38.0
SHOT,8475794,2,01:42,1,0,66.0,-27.0
SHOT,8475906,2,01:56,1,0,42.0,-24.0
SHOT,8471228,2,02:06,1,0,44.0,-8.0
GOAL,8478495,2,02:51,2,0,64.0,-24.0
GIVEAWAY,8471260,2,03:37,2,0,-37.0,-19.0
GIVEAWAY,8475794,2,04:19,2,0,-66.0,40.0
GIVEAWAY,8473994,2,07:54,2,0,58.0,-40.0
SHOT,8471699,2,09:10,2,1,52.0,19.0
TAKEAWAY,8476889,2,12:15,2,2,23.0,0.0
SHOT,8471260,2,12:17,2,2,63.0,-1.0
SHOT,8476902,2,17:01,2,2,66.0,2.0
SHOT,8473994,2,17:43,2,2,76.0,11.0
SHOT,8470794,2,19:15,2,2,60.0,-37.0
GIVEAWAY,8471260,3,00:23,2,2,27.0,17.0
SHOT,8475794,3,01:10,2,2,62.0,30.0
TAKEAWAY,8475794,3,01:23,2,2,84.0,-8.0
GIVEAWAY,8475906,3,01:55,2,2,-19.0,35.0
GIVEAWAY,8478449,3,02:48,2,2,51.0,37.0
SHOT,8475730,3,03:35,2,2,39.0,24.0
SHOT,8478449,3,05:29,2,2,60.0,-31.0
GIVEAWAY,8471750,3,08:44,2,2,-76.0,-10.0
GIVEAWAY,8480036,3,09:51,2,2,-24.0,18.0
GIVEAWAY,8478495,3,10:00,2,2,27.0,-27.0
SHOT,8480036,3,11:22,2,2,86.0,29.0
SHOT,8480036,3,12:20,2,2,77.0,-35.0
SHOT,8477450,3,12:59,2,2,73.0,19.0
GIVEAWAY,8476889,3,14:01,2,2,50.0,-29.0
SHOT,8475794,3,14:14,2,2,74.0,7.0
GIVEAWAY,8470621,3,15:16,2,2,68.0,-37.0
SHOT,8476889,3,15:33,2,2,81.0,-16.0
TAKEAWAY,8473994,3,19:40,2,3,17.0,42.0
