play,player,period,time,goalsFor,goalsAgainst,x,y
TAKEAWAY,8473994,1,02:10,0,0,-72.0,21.0
GIVEAWAY,8473994,1,02:14,0,0,-54.0,35.0
SHOT,8471228,1,04:47,0,0,63.0,17.0
SHOT,8475794,1,05:53,0,0,68.0,-21.0
TAKEAWAY,8476889,1,06:28,0,0,94.0,-28.0
SHOT,8471228,1,07:19,0,0,76.0,14.0
GIVEAWAY,8471284,1,08:13,0,0,-90.0,34.0
GIVEAWAY,8475906,1,09:34,0,0,-95.0,29.0
SHOT,8471392,1,10:21,0,0,63.0,0.0
GIVEAWAY,8477450,1,12:57,0,0,-98.0,-5.0
TAKEAWAY,8478495,1,13:12,0,0,-55.0,-15.0
TAKEAWAY,8480036,1,15:16,0,0,-96.0,21.0
GIVEAWAY,8471260,1,15:58,0,1,40.0,41.0
SHOT,8477450,1,16:57,0,1,76.0,0.0
GIVEAWAY,8476467,1,17:13,0,1,-34.0,-37.0
GIVEAWAY,8470794,1,19:40,0,1,-88.0,33.0
TAKEAWAY,8475906,1,19:57,0,1,-70.0,-39.0
TAKEAWAY,8470794,2,01:05,0,1,-30.0,-10.0
SHOT,8476467,2,01:19,0,1,43.0,33.0
SHOT,8471699,2,01:45,0,1,79.0,8.0
SHOT,8473994,2,02:17,0,1,-10.0,23.0
SHOT,8477450,2,03:12,0,1,68.0,-1.0
TAKEAWAY,8478449,2,04:33,0,1,5.0,-6.0
SHOT,8478449,2,04:38,0,1,76.0,6.0
SHOT,8471392,2,05:09,0,1,85.0,-22.0
SHOT,8475906,2,05:14,0,1,39.0,-28.0
SHOT,8475413,2,05:21,0,1,58.0,-38.0
SHOT,8473994,2,05:34,0,1,80.0,4.0
SHOT,8473994,2,05:37,0,1,80.0,3.0
SHOT,8475413,2,06:01,0,1,80.0,-9.0
GIVEAWAY,8470794,2,07:41,0,1,82.0,-36.0
SHOT,8475794,2,09:02,0,1,28.0,-29.0
TAKEAWAY,8475413,2,09:02,0,1,64.0,-33.0
GIVEAWAY,8471750,2,11:14,0,1,-90.0,23.0
GIVEAWAY,8470621,2,11:34,0,1,-99.0,-13.0
GIVEAWAY,8473994,2,13:27,0,1,-48.0,33.0
TAKEAWAY,8476467,2,14:15,0,1,-72.0,2.0
GIVEAWAY,8470621,2,15:00,0,1,32.0,-2.0
SHOT,8470794,2,15:20,0,1,56.0,15.0
TAKEAWAY,8475906,2,16:12,0,1,22.0,39.0
TAKEAWAY,8470621,2,18:30,0,1,-84.0,-26.0
GIVEAWAY,8471750,3,01:57,0,1,-98.0,-2.0
TAKEAWAY,8470794,3,05:00,0,1,19.0,20.0
SHOT,8470621,3,05:08,0,1,85.0,-6.0
SHOT,8477450,3,05:16,0,1,63.0,36.0
SHOT,8471284,3,06:18,0,1,77.0,0.0
SHOT,8476467,3,07:13,0,1,47.0,26.0
GIVEAWAY,8473994,3,07:53,0,1,58.0,32.0
SHOT,8475794,3,10:16,0,1,55.0,7.0
SHOT,8473994,3,11:15,0,1,60.0,-21.0
SHOT,8473994,3,11:21,0,1,86.0,4.0
TAKEAWAY,8476889,3,11:42,0,1,62.0,38.0
GIVEAWAY,8476889,3,11:46,0,1,94.0,29.0
GIVEAWAY,8475906,3,13:12,0,1,-55.0,-37.0
SHOT,8475794,3,14:03,0,1,78.0,10.0
SHOT,8478449,3,14:11,0,1,57.0,22.0
TAKEAWAY,8480036,3,16:06,0,1,-97.0,3.0
GOAL,8478449,3,16:49,1,1,53.0,-19.0
GIVEAWAY,8477450,3,17:32,1,2,-16.0,-40.0
SHOT,8471228,3,18:22,1,2,57.0,23.0
SHOT,8470794,3,18:27,1,2,64.0,14.0
SHOT,8475794,3,19:02,1,2,77.0,-16.0
SHOT,8475906,3,19:47,1,2,47.0,24.0
