play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8478449,1,00:29,0,0,80.0,15.0
TAKEAWAY,8480036,1,00:32,0,0,30.0,-30.0
GIVEAWAY,8480036,1,00:44,0,0,-97.0,-10.0
GIVEAWAY,8476889,1,05:11,0,1,-67.0,-15.0
TAKEAWAY,8471228,1,06:44,0,1,-77.0,9.0
TAKEAWAY,8475730,1,07:42,0,1,-80.0,-6.0
GOAL,8470794,1,08:08,1,1,80.0,2.0
GOAL,8470794,1,08:24,2,1,68.0,0.0
SHOT,8476467,1,08:34,2,1,-60.0,32.0
TAKEAWAY,8476889,1,08:38,2,1,62.0,39.0
SHOT,8480036,1,08:43,2,1,33.0,-26.0
SHOT,8475730,1,09:58,2,1,32.0,-37.0
TAKEAWAY,8475794,1,10:45,2,1,29.0,-32.0
TAKEAWAY,8476902,1,14:24,2,1,-63.0,39.0
SHOT,8471260,1,14:45,2,1,65.0,-18.0
TAKEAWAY,8476902,1,19:17,2,2,37.0,-20.0
SHOT,8470621,2,00:13,2,2,86.0,6.0
GIVEAWAY,8471418,2,00:59,2,2,-95.0,5.0
SHOT,8475794,2,01:29,2,2,81.0,8.0
SHOT,8476902,2,02:56,2,2,37.0,8.0
TAKEAWAY,8475906,2,05:18,2,2,-97.0,1.0
GOAL,8475730,2,07:52,3,2,31.0,20.0
GOAL,8471260,2,11:56,4,2,71.0,-19.0
SHOT,8476889,2,12:07,4,2,84.0,7.0
TAKEAWAY,8476902,2,14:39,4,2,-52.0,-11.0
SHOT,8478495,2,18:14,4,2,83.0,6.0
SHOT,8475794,2,18:53,4,2,43.0,8.0
SHOT,8475794,3,00:55,4,2,72.0,-8.0
GIVEAWAY,8477406,3,03:02,4,2,-31.0,-7.0
SHOT,8471284,3,05:20,4,2,32.0,40.0
GOAL,8470621,3,05:22,5,2,79.0,-9.0
SHOT,8470794,3,06:39,5,2,83.0,-10.0
SHOT,8470794,3,06:44,5,2,78.0,-5.0
SHOT,8471284,3,15:18,5,3,33.0,36.0
GIVEAWAY,8477450,3,15:21,5,3,87.0,12.0
TAKEAWAY,8477450,3,18:16,5,3,5.0,-18.0
TAKEAWAY,8470794,3,19:46,5,3,-80.0,-14.0
