play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8470621,1,00:33,0,0,85.0,10.0
SHOT,8478495,1,01:41,0,0,46.0,29.0
SHOT,8471228,1,06:54,0,0,81.0,-14.0
SHOT,8475794,1,13:01,0,0,48.0,30.0
SHOT,8475794,1,13:33,0,0,71.0,13.0
SHOT,8471260,1,15:42,0,0,71.0,-10.0
SHOT,8475906,1,17:50,0,0,65.0,-15.0
SHOT,8475794,1,18:51,0,0,9.0,5.0
SHOT,8476902,2,01:32,0,0,31.0,-13.0
GIVEAWAY,8475794,2,03:16,0,0,-86.0,27.0
GIVEAWAY,8471699,2,05:28,0,0,81.0,35.0
SHOT,8471228,2,08:18,0,0,78.0,3.0
SHOT,8470794,2,08:38,0,0,67.0,20.0
SHOT,8480036,2,09:48,0,0,35.0,-2.0
GIVEAWAY,8478495,2,12:13,0,0,-56.0,-25.0
SHOT,8476902,2,13:32,0,1,35.0,15.0
SHOT,8480036,2,15:04,0,1,35.0,2.0
GOAL,8475906,2,15:28,1,1,51.0,-24.0
SHOT,8476889,2,17:57,1,1,51.0,30.0
SHOT,8475906,3,01:22,1,1,58.0,-28.0
SHOT,8470794,3,01:51,1,1,29.0,23.0
SHOT,8475906,3,02:07,1,1,29.0,-35.0
SHOT,8471228,3,05:49,1,1,22.0,-26.0
SHOT,8471228,3,11:44,1,1,57.0,-7.0
SHOT,8478495,3,12:43,1,1,76.0,-3.0
SHOT,8480036,3,13:27,1,1,52.0,8.0
SHOT,8476889,3,14:04,1,1,71.0,18.0
TAKEAWAY,8471260,3,14:06,1,1,99.0,-3.0
GOAL,8471260,3,14:09,2,1,78.0,20.0
TAKEAWAY,8473994,3,14:43,2,1,-60.0,14.0
SHOT,8471260,3,16:39,2,1,76.0,-9.0
SHOT,8477406,3,19:11,2,2,82.0,36.0
SHOT,8480036,4,04:26,2,2,51.0,14.0
