play,player,period,time,goalsFor,goalsAgainst,x,y
GIVEAWAY,8476902,1,00:33,0,0,-17.0,-34.0
GIVEAWAY,8480036,1,02:27,0,0,-83.0,38.0
GIVEAWAY,8473994,1,06:17,0,0,-50.0,-38.0
SHOT,8473994,1,06:35,0,0,84.0,-5.0
GIVEAWAY,8480036,1,07:26,0,0,-18.0,16.0
GIVEAWAY,8476889,1,07:50,0,0,13.0,-1.0
GOAL,8477450,1,08:57,1,0,55.0,2.0
GIVEAWAY,8480036,1,09:05,1,0,-33.0,40.0
GIVEAWAY,8475794,1,09:42,1,1,13.0,-10.0
SHOT,8475794,1,12:26,1,1,79.0,6.0
SHOT,8471228,1,12:54,1,1,46.0,-10.0
SHOT,8478495,1,14:15,1,1,68.0,-17.0
SHOT,8479381,1,14:16,1,1,65.0,3.0
TAKEAWAY,8475794,1,14:32,1,1,-32.0,-37.0
SHOT,8480036,1,14:37,1,1,57.0,3.0
SHOT,8471284,1,17:36,1,1,41.0,-17.0
TAKEAWAY,8471260,1,18:00,1,1,-48.0,37.0
SHOT,8480036,1,19:38,1,2,66.0,14.0
SHOT,8471228,1,19:59,1,2,77.0,24.0
GOAL,8480036,2,00:48,2,2,65.0,11.0
TAKEAWAY,8478495,2,01:02,2,2,58.0,0.0
GIVEAWAY,8475794,2,03:56,2,3,-81.0,-33.0
TAKEAWAY,8473994,2,08:28,2,3,-79.0,7.0
SHOT,8475794,2,08:34,2,3,58.0,-15.0
SHOT,8471228,2,11:41,2,3,78.0,-3.0
SHOT,8471228,2,11:46,2,3,54.0,-25.0
SHOT,8471228,2,11:52,2,3,53.0,-24.0
SHOT,8471284,2,12:52,2,3,36.0,22.0
SHOT,8480036,2,14:28,2,3,56.0,-16.0
TAKEAWAY,8470794,2,14:49,2,3,-5.0,20.0
SHOT,8473994,2,14:51,2,3,-5.0,13.0
SHOT,8475794,2,14:59,2,3,5.0,1.0
SHOT,8476889,2,16:41,2,3,87.0,-8.0
GIVEAWAY,8476902,2,17:44,2,3,-94.0,25.0
TAKEAWAY,8477450,2,17:53,2,3,-70.0,3.0
GIVEAWAY,8476467,3,01:06,2,4,-71.0,-21.0
SHOT,8479381,3,02:15,2,4,48.0,-7.0
SHOT,8470794,3,03:39,2,4,80.0,0.0
SHOT,8475794,3,04:50,2,4,62.0,-15.0
GOAL,8471260,3,05:21,3,4,61.0,3.0
GIVEAWAY,8476902,3,05:32,3,4,-77.0,-38.0
SHOT,8480036,3,07:27,3,4,33.0,1.0
SHOT,8471228,3,08:17,3,4,55.0,-13.0
SHOT,8480036,3,08:32,3,4,43.0,2.0
GIVEAWAY,8478495,3,09:11,3,4,95.0,4.0
SHOT,8473994,3,11:55,3,4,52.0,-22.0
SHOT,8475794,3,12:10,3,4,73.0,6.0
SHOT,8475794,3,12:11,3,4,86.0,6.0
SHOT,8480036,3,12:23,3,4,85.0,-13.0
GIVEAWAY,8471392,3,14:47,3,4,-97.0,8.0
SHOT,8478495,3,15:37,3,4,81.0,20.0
SHOT,8476166,3,16:07,3,4,47.0,17.0
GOAL,8475794,3,18:11,4,4,50.0,21.0
GIVEAWAY,8471260,3,18:43,4,4,-54.0,41.0
SHOT,8470794,3,19:49,4,4,52.0,1.0
TAKEAWAY,8476902,4,01:06,4,4,-64.0,-14.0
GOAL,8473994,4,01:14,5,4,72.0,6.0
