play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8475794,1,00:18,0,0,67.0,21.0
SHOT,8475794,1,00:31,0,0,74.0,0.0
SHOT,8475794,1,01:03,0,0,68.0,-25.0
SHOT,8478449,1,04:28,0,0,66.0,-9.0
TAKEAWAY,8477450,1,06:50,0,0,-94.0,29.0
TAKEAWAY,8476467,1,14:01,0,1,-40.0,-25.0
SHOT,8471699,1,15:04,0,1,85.0,25.0
SHOT,8478495,1,16:21,0,1,78.0,-1.0
TAKEAWAY,8481641,1,16:42,0,1,-23.0,23.0
SHOT,8481641,1,16:48,0,1,58.0,-4.0
GIVEAWAY,8473994,1,19:12,0,1,21.0,-27.0
SHOT,8475794,1,19:44,0,1,64.0,-19.0
GIVEAWAY,8471260,2,00:11,0,1,-46.0,-41.0
GIVEAWAY,8471750,2,00:18,0,1,-97.0,-2.0
GIVEAWAY,8476467,2,01:03,0,1,-84.0,-36.0
GIVEAWAY,8476467,2,01:14,0,1,-82.0,-36.0
SHOT,8476467,2,01:37,0,1,4.0,33.0
TAKEAWAY,8481641,2,02:00,0,1,48.0,35.0
SHOT,8476902,2,02:14,0,1,41.0,27.0
SHOT,8476902,2,02:18,0,1,43.0,34.0
GIVEAWAY,8470621,2,02:43,0,1,-33.0,-38.0
SHOT,8480036,2,04:17,0,1,39.0,30.0
SHOT,8480036,2,04:22,0,1,37.0,-25.0
GOAL,8473994,2,04:28,1,1,76.0,8.0
SHOT,8481641,2,04:45,1,1,60.0,12.0
SHOT,8471392,2,04:51,1,1,45.0,-18.0
SHOT,8475794,2,05:04,1,1,75.0,22.0
GIVEAWAY,8471392,2,07:02,1,1,-92.0,-22.0
TAKEAWAY,8471392,2,07:06,1,1,-93.0,-29.0
SHOT,8478449,2,09:08,1,1,42.0,21.0
SHOT,8478449,2,11:18,1,1,70.0,35.0
SHOT,8478449,2,11:30,1,1,81.0,-10.0
SHOT,8476902,2,13:15,1,1,49.0,8.0
SHOT,8477450,2,14:44,1,1,65.0,-9.0
SHOT,8471392,2,16:48,1,2,77.0,-1.0
GIVEAWAY,8475794,2,18:08,1,2,67.0,-39.0
GIVEAWAY,8471228,2,18:24,1,2,58.0,-32.0
SHOT,8475906,2,19:07,1,2,39.0,10.0
SHOT,8471699,3,00:26,1,2,81.0,7.0
TAKEAWAY,8478449,3,02:23,1,2,-30.0,-23.0
GIVEAWAY,8476467,3,04:53,1,2,-29.0,-29.0
SHOT,8475413,3,07:48,1,2,76.0,13.0
SHOT,8475906,3,14:06,1,2,61.0,6.0
GIVEAWAY,8471750,3,15:36,1,2,-99.0,3.0
TAKEAWAY,8478495,3,15:49,1,2,-34.0,-8.0
GIVEAWAY,8478495,3,15:51,1,2,-20.0,-12.0
SHOT,8471260,3,16:06,1,2,70.0,7.0
GIVEAWAY,8473994,3,16:57,1,2,40.0,-39.0
GIVEAWAY,8471228,3,17:35,1,2,19.0,19.0
SHOT,8478449,3,18:17,1,3,58.0,-17.0
TAKEAWAY,8475413,3,18:20,1,3,39.0,3.0
