play,player,period,time,goalsFor,goalsAgainst,x,y
GIVEAWAY,8477406,1,00:19,0,0,-43.0,9.0
GIVEAWAY,8473994,1,00:53,0,0,-44.0,-15.0
GIVEAWAY,8471699,1,01:43,0,0,-9.0,2.0
SHOT,8476467,1,02:03,0,0,52.0,-36.0
TAKEAWAY,8475794,1,03:45,0,0,98.0,-1.0
SHOT,8477406,1,03:46,0,0,73.0,13.0
SHOT,8476902,1,04:45,0,0,42.0,21.0
SHOT,8476889,1,04:48,0,0,72.0,11.0
SHOT,8470621,1,05:05,0,0,52.0,-26.0
SHOT,8470621,1,05:26,0,0,80.0,0.0
SHOT,8480036,1,06:23,0,0,81.0,1.0
TAKEAWAY,8478449,1,06:52,0,0,58.0,31.0
GIVEAWAY,8478449,1,07:05,0,0,-54.0,40.0
GIVEAWAY,8476902,1,07:47,0,0,-73.0,-36.0
TAKEAWAY,8477450,1,08:07,0,0,-62.0,-31.0
SHOT,8478495,1,08:13,0,0,85.0,23.0
TAKEAWAY,8473994,1,08:33,0,0,49.0,-8.0
SHOT,8475794,1,09:11,0,0,88.0,23.0
SHOT,8480036,1,09:14,0,0,37.0,1.0
SHOT,8471392,1,10:05,0,0,42.0,25.0
GIVEAWAY,8480036,1,13:03,0,0,34.0,36.0
TAKEAWAY,8471228,1,14:40,0,0,78.0,12.0
SHOT,8471228,1,14:42,0,0,79.0,0.0
GOAL,8476166,1,15:14,1,0,38.0,-11.0
SHOT,8476889,1,17:30,1,0,52.0,-22.0
SHOT,8476166,1,18:36,1,0,73.0,4.0
SHOT,8476902,2,00:24,1,0,43.0,32.0
GIVEAWAY,8471284,2,02:07,1,0,-95.0,-23.0
GIVEAWAY,8471750,2,03:00,1,0,-98.0,0.0
TAKEAWAY,8476902,2,04:13,1,0,-98.0,7.0
TAKEAWAY,8478449,2,09:28,1,1,70.0,40.0
SHOT,8478449,2,09:55,1,1,79.0,7.0
TAKEAWAY,8480036,2,13:52,1,1,-81.0,-4.0
TAKEAWAY,8478449,2,14:22,1,1,46.0,-10.0
SHOT,8477450,2,15:31,1,2,80.0,-1.0
GIVEAWAY,8476902,2,18:08,1,2,53.0,40.0
TAKEAWAY,8476902,2,18:13,1,2,-54.0,36.0
SHOT,8478449,2,18:18,1,2,77.0,21.0
SHOT,8471228,2,19:18,1,2,78.0,-9.0
SHOT,8476889,2,19:18,1,2,82.0,5.0
SHOT,8475794,2,19:27,1,2,58.0,-21.0
GIVEAWAY,8480036,2,19:49,1,2,-10.0,35.0
SHOT,8476902,3,00:14,1,2,56.0,-18.0
GIVEAWAY,8477450,3,00:50,1,2,-17.0,-20.0
GIVEAWAY,8476467,3,05:28,1,2,-62.0,-27.0
GIVEAWAY,8473994,3,06:42,1,2,-35.0,-35.0
SHOT,8478449,3,07:51,1,2,85.0,-6.0
TAKEAWAY,8480036,3,07:56,1,2,37.0,14.0
SHOT,8473994,3,08:06,1,2,81.0,2.0
GIVEAWAY,8476902,3,09:50,1,2,-96.0,-23.0
GIVEAWAY,8476902,3,10:16,1,2,-68.0,-10.0
SHOT,8477406,3,11:50,1,2,87.0,13.0
SHOT,8471392,3,11:57,1,2,45.0,30.0
GIVEAWAY,8476467,3,12:36,1,2,-65.0,-29.0
GOAL,8473994,3,14:49,2,2,82.0,1.0
GIVEAWAY,8471228,3,14:59,2,2,8.0,-35.0
TAKEAWAY,8470794,3,15:06,2,2,-43.0,39.0
SHOT,8470621,3,18:02,2,2,86.0,16.0
GIVEAWAY,8475794,4,00:22,2,2,64.0,40.0
SHOT,8480036,4,00:41,2,2,81.0,4.0
