play,player,period,time,goalsFor,goalsAgainst,x,y
GIVEAWAY,8475906,1,01:43,0,0,-97.0,22.0
GIVEAWAY,8476166,1,03:13,0,0,-98.0,-5.0
TAKEAWAY,8475794,1,04:26,0,0,92.0,31.0
SHOT,8473994,1,04:27,0,0,81.0,13.0
SHOT,8475906,1,04:47,0,0,58.0,-1.0
SHOT,8471228,1,05:56,0,0,79.0,20.0
GIVEAWAY,8470621,1,06:03,0,0,66.0,-36.0
GIVEAWAY,8471260,1,07:28,0,0,90.0,32.0
SHOT,8478449,1,08:22,0,0,72.0,-6.0
SHOT,8476467,1,08:50,0,0,56.0,-19.0
TAKEAWAY,8480036,1,09:26,0,0,-88.0,34.0
SHOT,8471699,1,10:32,0,0,-50.0,4.0
TAKEAWAY,8477450,1,10:44,0,0,-47.0,-35.0
GIVEAWAY,8471228,1,11:08,0,0,78.0,40.0
TAKEAWAY,8473994,1,11:18,0,0,65.0,19.0
GIVEAWAY,8475794,1,11:21,0,0,99.0,17.0
SHOT,8476467,1,11:21,0,0,47.0,-19.0
SHOT,8476166,1,11:25,0,0,35.0,35.0
SHOT,8478449,1,11:30,0,0,76.0,1.0
TAKEAWAY,8475906,1,11:53,0,0,-37.0,41.0
GIVEAWAY,8477450,1,12:38,0,0,-76.0,-19.0
SHOT,8473994,1,14:05,0,0,-42.0,20.0
GIVEAWAY,8475906,1,14:51,0,0,-56.0,35.0
TAKEAWAY,8475906,1,14:57,0,0,-38.0,25.0
GOAL,8471228,1,15:24,1,0,60.0,3.0
SHOT,8471699,1,15:35,1,0,80.0,-5.0
SHOT,8476467,1,15:59,1,0,36.0,-23.0
TAKEAWAY,8476902,1,18:02,1,0,-41.0,-40.0
SHOT,8478495,1,19:50,1,0,80.0,7.0
SHOT,8478495,2,00:22,1,0,62.0,9.0
GIVEAWAY,8478449,2,00:37,1,0,-33.0,9.0
SHOT,8477450,2,02:11,1,0,42.0,6.0
GIVEAWAY,8476467,2,03:30,1,0,-72.0,40.0
SHOT,8471260,2,04:02,1,0,71.0,5.0
TAKEAWAY,8475906,2,05:12,1,0,-98.0,20.0
GIVEAWAY,8477810,2,07:35,1,0,-98.0,-9.0
SHOT,8476902,2,08:07,1,0,36.0,-23.0
GIVEAWAY,8478449,2,10:19,1,0,-11.0,40.0
SHOT,8476166,2,11:33,1,0,41.0,-22.0
SHOT,8476166,2,11:48,1,0,43.0,5.0
GIVEAWAY,8471228,2,12:10,1,0,-45.0,-39.0
GIVEAWAY,8480036,2,14:33,1,0,-86.0,35.0
TAKEAWAY,8471260,2,14:51,1,0,-81.0,-23.0
SHOT,8478495,2,16:24,1,0,79.0,1.0
SHOT,8470794,2,16:31,1,0,81.0,3.0
SHOT,8470794,2,16:32,1,0,81.0,1.0
SHOT,8478495,2,16:34,1,0,50.0,18.0
SHOT,8476902,2,17:14,1,0,41.0,4.0
SHOT,8473994,2,17:31,1,0,81.0,0.0
SHOT,8478495,2,18:48,1,0,73.0,3.0
GOAL,8478495,2,18:49,2,0,77.0,4.0
TAKEAWAY,8470794,3,02:34,2,0,-25.0,35.0
SHOT,8476902,3,02:49,2,0,-25.0,34.0
SHOT,8480036,3,03:40,2,0,47.0,19.0
SHOT,8475794,3,05:27,2,0,47.0,-6.0
SHOT,8473994,3,05:30,2,0,82.0,3.0
GIVEAWAY,8475906,3,07:06,2,0,-54.0,-35.0
SHOT,8471228,3,08:41,2,0,72.0,-12.0
SHOT,8476166,3,08:46,2,0,48.0,18.0
SHOT,8475794,3,10:16,2,0,69.0,5.0
GOAL,8478495,3,10:43,3,0,68.0,-10.0
GIVEAWAY,8473994,3,12:16,3,0,-34.0,-38.0
SHOT,8471699,3,13:10,3,0,72.0,-11.0
SHOT,8471699,3,13:11,3,0,76.0,13.0
GIVEAWAY,8473994,3,13:59,3,0,15.0,-37.0
SHOT,8471699,3,14:28,3,0,-86.0,-18.0
GIVEAWAY,8476902,3,14:39,3,0,-97.0,-4.0
GOAL,8480036,3,15:08,4,0,-72.0,-40.0
