play,player,period,time,goalsFor,goalsAgainst,x,y
GIVEAWAY,8471750,1,00:31,0,0,-98.0,0.0
TAKEAWAY,8478495,1,00:59,0,0,54.0,-31.0
GIVEAWAY,8477450,1,01:14,0,0,-32.0,38.0
GIVEAWAY,8476902,1,01:44,0,0,-72.0,41.0
GIVEAWAY,8470794,1,04:15,0,0,-25.0,-35.0
SHOT,8473994,1,04:49,0,0,90.0,5.0
SHOT,8473994,1,04:57,0,0,84.0,3.0
SHOT,8480036,1,05:11,0,0,43.0,-26.0
SHOT,8471284,1,05:16,0,0,37.0,-27.0
SHOT,8471284,1,05:23,0,0,43.0,-18.0
SHOT,8470621,1,05:35,0,0,84.0,22.0
SHOT,8470794,1,06:07,0,0,75.0,15.0
GIVEAWAY,8475794,1,07:02,0,0,-86.0,26.0
GIVEAWAY,8476467,1,07:15,0,0,12.0,-36.0
SHOT,8476889,1,07:40,0,0,55.0,21.0
TAKEAWAY,8473994,1,09:11,0,0,-94.0,28.0
SHOT,8473994,1,09:16,0,0,68.0,-20.0
TAKEAWAY,8475906,1,09:26,0,0,13.0,34.0
SHOT,8477406,1,09:31,0,0,53.0,-23.0
SHOT,8471260,1,11:13,0,0,54.0,-18.0
GOAL,8471699,1,11:59,1,0,84.0,0.0
GIVEAWAY,8476467,1,12:25,1,0,29.0,-36.0
SHOT,8475906,1,12:59,1,0,65.0,2.0
GIVEAWAY,8471228,1,13:39,1,0,53.0,-35.0
GIVEAWAY,8475906,1,15:24,1,0,-99.0,12.0
SHOT,8470621,1,15:50,1,0,78.0,-4.0
GOAL,8471228,1,16:02,2,0,52.0,-5.0
SHOT,8480036,1,16:23,2,0,47.0,27.0
GIVEAWAY,8480036,1,16:34,2,0,-8.0,16.0
GIVEAWAY,8478449,1,16:59,2,0,-56.0,-39.0
GIVEAWAY,8471392,1,19:54,2,0,-46.0,-38.0
GIVEAWAY,8477406,2,01:17,2,0,-11.0,-7.0
SHOT,8478449,2,01:36,2,0,67.0,13.0
SHOT,8471228,2,01:49,2,0,50.0,-35.0
GIVEAWAY,8475794,2,02:13,2,0,38.0,-35.0
GIVEAWAY,8477406,2,03:01,2,0,-20.0,-7.0
GOAL,8478495,2,03:12,3,0,81.0,1.0
SHOT,8471392,2,05:13,3,0,34.0,-35.0
SHOT,8473994,2,05:40,3,0,18.0,-3.0
GIVEAWAY,8471750,2,06:17,3,0,-99.0,-6.0
GIVEAWAY,8476902,2,06:22,3,0,-91.0,34.0
SHOT,8470794,2,06:56,3,0,60.0,-22.0
SHOT,8473994,2,09:08,3,0,58.0,-22.0
GIVEAWAY,8476467,2,11:31,3,0,-98.0,10.0
GIVEAWAY,8480036,2,11:56,3,0,84.0,-37.0
TAKEAWAY,8470621,2,12:28,3,0,-36.0,24.0
SHOT,8475906,2,14:18,3,0,37.0,-29.0
SHOT,8473994,2,16:25,3,0,74.0,-6.0
SHOT,8471260,2,17:08,3,0,79.0,-5.0
SHOT,8475794,2,18:03,3,0,78.0,-13.0
SHOT,8476467,2,19:02,3,0,42.0,16.0
SHOT,8480036,2,19:12,3,0,42.0,-19.0
TAKEAWAY,8476467,3,03:39,3,0,11.0,-24.0
SHOT,8475794,3,05:19,3,0,84.0,9.0
SHOT,8475794,3,05:22,3,0,88.0,8.0
SHOT,8480036,3,08:47,3,0,60.0,18.0
SHOT,8480036,3,08:48,3,0,85.0,10.0
SHOT,8471228,3,09:05,3,0,81.0,2.0
SHOT,8471392,3,10:50,3,0,43.0,24.0
SHOT,8477450,3,11:13,3,0,74.0,1.0
TAKEAWAY,8471260,3,14:59,3,0,-70.0,36.0
TAKEAWAY,8471260,3,15:22,3,0,-80.0,37.0
GIVEAWAY,8471260,3,15:26,3,0,-94.0,25.0
SHOT,8475794,3,16:44,3,1,51.0,-6.0
