play,player,period,time,goalsFor,goalsAgainst,x,y
TAKEAWAY,8480036,1,01:16,0,0,-58.0,1.0
SHOT,8476889,1,01:55,0,0,72.0,10.0
SHOT,8470794,1,02:06,0,0,71.0,4.0
TAKEAWAY,8477450,1,02:54,0,0,-1.0,-1.0
SHOT,8470794,1,03:24,0,0,77.0,8.0
GOAL,8471228,1,04:09,1,0,67.0,-2.0
SHOT,8476902,1,04:47,1,0,38.0,-12.0
SHOT,8480036,1,07:55,1,0,51.0,24.0
SHOT,8471699,1,14:32,1,1,54.0,22.0
SHOT,8473994,1,19:54,1,2,-78.0,-35.0
SHOT,8476889,2,04:09,1,3,73.0,3.0
SHOT,8471699,2,04:10,1,3,70.0,1.0
SHOT,8478495,2,06:04,1,3,50.0,1.0
SHOT,8476889,2,11:20,1,3,74.0,5.0
TAKEAWAY,8476889,2,13:35,1,3,-51.0,29.0
GIVEAWAY,8475906,2,14:23,1,3,-47.0,-20.0
GOAL,8476889,2,17:57,2,3,65.0,3.0
SHOT,8476467,3,01:28,2,3,41.0,-30.0
GIVEAWAY,8477450,3,02:30,2,3,54.0,-12.0
GIVEAWAY,8471699,3,03:48,2,3,-38.0,11.0
GIVEAWAY,8471699,3,04:55,2,3,-13.0,-33.0
GIVEAWAY,8477406,3,05:27,2,3,-11.0,-3.0
GIVEAWAY,8473994,3,05:44,2,3,-4.0,-23.0
SHOT,8477406,3,08:56,2,3,47.0,-32.0
SHOT,8477450,3,08:58,2,3,69.0,0.0
GIVEAWAY,8475906,3,13:52,2,3,66.0,36.0
GIVEAWAY,8471284,3,15:16,2,3,-4.0,-1.0
GOAL,8477450,3,15:42,3,3,84.0,0.0
SHOT,8480036,4,00:58,3,3,49.0,-6.0
SHOT,8476889,4,02:05,3,3,65.0,5.0
TAKEAWAY,8473994,4,02:19,3,3,-76.0,-34.0
GOAL,8475794,4,03:00,4,3,74.0,10.0
