play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8478495,1,00:49,0,0,80.0,21.0
SHOT,8475794,1,02:08,0,0,49.0,29.0
SHOT,8475906,1,02:32,0,0,44.0,24.0
SHOT,8478449,1,02:54,0,0,81.0,5.0
GIVEAWAY,8471228,1,03:38,0,0,-39.0,2.0
SHOT,8476889,1,04:09,0,0,88.0,-5.0
GIVEAWAY,8470621,1,06:30,0,0,-35.0,-36.0
GIVEAWAY,8471228,1,06:46,0,0,-22.0,40.0
GIVEAWAY,8470794,1,08:11,0,0,-41.0,17.0
GIVEAWAY,8471392,1,08:54,0,0,-46.0,-40.0
SHOT,8471228,1,09:11,0,0,57.0,-13.0
SHOT,8471228,1,09:58,0,0,81.0,-4.0
SHOT,8478449,1,10:07,0,0,77.0,-1.0
SHOT,8478449,1,10:18,0,0,81.0,5.0
SHOT,8480036,1,10:42,0,0,41.0,-4.0
GOAL,8471228,1,11:42,1,0,82.0,1.0
GIVEAWAY,8480036,1,12:47,1,0,-79.0,38.0
TAKEAWAY,8473994,1,12:55,1,0,-42.0,12.0
GIVEAWAY,8473994,1,13:01,1,0,-30.0,20.0
GOAL,8476902,1,13:25,2,0,52.0,-12.0
GIVEAWAY,8476467,1,14:34,2,0,-96.0,25.0
SHOT,8471284,1,16:07,2,0,39.0,-14.0
GIVEAWAY,8471750,1,16:38,2,0,-98.0,0.0
TAKEAWAY,8480036,1,16:47,2,0,-70.0,41.0
SHOT,8478495,1,17:15,2,0,74.0,-8.0
SHOT,8475794,1,18:04,2,0,57.0,19.0
SHOT,8470794,1,19:49,2,0,78.0,-1.0
GIVEAWAY,8477406,2,02:47,2,0,96.0,-21.0
TAKEAWAY,8480036,2,03:10,2,0,37.0,11.0
TAKEAWAY,8471228,2,03:17,2,0,54.0,39.0
SHOT,8471228,2,03:24,2,0,82.0,0.0
TAKEAWAY,8476902,2,04:49,2,0,-80.0,38.0
GIVEAWAY,8476902,2,04:53,2,0,-96.0,24.0
TAKEAWAY,8480036,2,05:24,2,0,-78.0,-21.0
TAKEAWAY,8476889,2,07:01,2,0,-47.0,-24.0
GIVEAWAY,8478449,2,08:26,2,0,-58.0,41.0
GIVEAWAY,8471284,2,11:02,2,0,-68.0,41.0
TAKEAWAY,8477450,2,14:20,2,1,-8.0,33.0
GIVEAWAY,8473994,2,16:25,2,1,-74.0,40.0
GOAL,8477450,2,17:41,3,1,72.0,2.0
GIVEAWAY,8471699,2,18:32,3,1,-63.0,40.0
TAKEAWAY,8473994,2,19:32,3,1,6.0,31.0
TAKEAWAY,8471392,3,01:44,3,2,-57.0,18.0
TAKEAWAY,8470794,3,01:58,3,2,46.0,-2.0
SHOT,8478495,3,02:02,3,2,69.0,-24.0
SHOT,8478495,3,02:07,3,2,81.0,-10.0
SHOT,8480036,3,02:34,3,2,44.0,-10.0
SHOT,8478495,3,05:31,3,2,13.0,3.0
SHOT,8470621,3,06:01,3,2,87.0,-3.0
TAKEAWAY,8475906,3,06:40,3,2,-98.0,-9.0
SHOT,8471260,3,06:59,3,2,77.0,13.0
SHOT,8477450,3,08:51,3,2,85.0,7.0
GIVEAWAY,8476889,3,10:53,3,2,34.0,-6.0
SHOT,8475906,3,12:09,3,2,44.0,-7.0
GOAL,8471228,3,12:11,4,2,82.0,6.0
TAKEAWAY,8476889,3,12:24,4,2,44.0,-39.0
GIVEAWAY,8471284,3,13:00,4,2,-51.0,-20.0
SHOT,8470794,3,14:58,4,2,47.0,20.0
GIVEAWAY,8471750,3,15:22,4,2,-98.0,-1.0
TAKEAWAY,8476889,3,16:38,4,2,-46.0,40.0
GIVEAWAY,8471750,3,19:23,4,2,-75.0,3.0
GIVEAWAY,8476902,3,19:31,4,2,-61.0,-24.0
