play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8476166,1,00:29,0,0,38.0,-10.0
GOAL,8475413,1,03:45,1,0,78.0,0.0
SHOT,8477450,1,06:29,1,0,56.0,12.0
TAKEAWAY,8477450,1,06:32,1,0,81.0,33.0
SHOT,8473994,1,11:10,1,0,69.0,22.0
SHOT,8470794,1,12:03,1,0,51.0,-18.0
SHOT,8480036,1,13:02,1,0,59.0,29.0
SHOT,8470794,1,13:04,1,0,83.0,3.0
SHOT,8476889,1,14:02,1,0,72.0,-15.0
SHOT,8471228,1,14:05,1,0,80.0,6.0
SHOT,8475413,1,16:44,1,0,61.0,18.0
TAKEAWAY,8470621,1,17:44,1,0,87.0,-11.0
SHOT,8476467,2,02:46,1,0,31.0,-20.0
GOAL,8471260,2,04:03,2,0,76.0,-6.0
SHOT,8478495,2,04:38,2,0,59.0,17.0
SHOT,8475794,2,10:10,2,1,74.0,25.0
GIVEAWAY,8475794,2,10:21,2,1,70.0,-40.0
SHOT,8476467,2,14:24,2,2,81.0,13.0
SHOT,8470621,2,14:25,2,2,94.0,5.0
GIVEAWAY,8476902,2,16:16,2,2,8.0,-37.0
SHOT,8475794,2,16:19,2,2,83.0,19.0
SHOT,8480036,2,17:49,2,2,77.0,18.0
GOAL,8475794,2,18:29,3,2,82.0,-7.0
SHOT,8470621,3,01:50,3,2,-61.0,20.0
TAKEAWAY,8480036,3,01:56,3,2,-78.0,-38.0
SHOT,8476902,3,05:38,3,2,72.0,11.0
SHOT,8470794,3,05:45,3,2,79.0,7.0
SHOT,8473994,3,05:48,3,2,54.0,7.0
TAKEAWAY,8470794,3,07:24,3,2,-12.0,-30.0
SHOT,8475794,3,08:41,3,2,51.0,-8.0
SHOT,8475794,3,09:19,3,2,69.0,-11.0
SHOT,8473994,3,11:35,3,2,77.0,-5.0
SHOT,8470621,3,11:40,3,2,67.0,-5.0
TAKEAWAY,8475794,3,16:45,3,2,-19.0,-36.0
TAKEAWAY,8470794,3,17:20,3,2,-6.0,-6.0
GOAL,8471228,3,17:24,4,2,80.0,-7.0
SHOT,8476889,3,17:40,4,2,32.0,16.0
TAKEAWAY,8476902,3,18:25,4,2,-95.0,19.0
