play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8471284,1,01:12,0,0,40.0,22.0
SHOT,8470621,1,01:24,0,0,68.0,-11.0
SHOT,8470621,1,01:25,0,0,78.0,-8.0
SHOT,8470621,1,01:38,0,0,79.0,4.0
TAKEAWAY,8481641,1,02:57,0,0,37.0,-18.0
SHOT,8471284,1,03:07,0,0,44.0,-5.0
GIVEAWAY,8471284,1,03:45,0,0,-99.0,7.0
SHOT,8478495,1,04:38,0,0,76.0,-1.0
GIVEAWAY,8475906,1,06:30,0,0,-98.0,6.0
GIVEAWAY,8480036,1,06:51,0,0,-37.0,-18.0
TAKEAWAY,8480036,1,07:44,0,0,-45.0,36.0
GOAL,8473994,1,07:54,1,0,80.0,-10.0
TAKEAWAY,8471228,1,08:15,1,0,46.0,37.0
SHOT,8476902,1,08:37,1,0,39.0,-25.0
SHOT,8478495,1,11:26,1,0,69.0,19.0
SHOT,8475730,1,11:46,1,0,43.0,13.0
SHOT,8475794,1,12:34,1,0,81.0,-2.0
GIVEAWAY,8475906,1,13:01,1,0,-45.0,15.0
GIVEAWAY,8481641,1,14:02,1,0,67.0,39.0
GIVEAWAY,8475906,1,14:37,1,0,-83.0,-38.0
GIVEAWAY,8475730,1,17:03,1,0,-22.0,3.0
SHOT,8475794,1,17:53,1,1,38.0,22.0
GIVEAWAY,8471284,2,01:38,1,1,-56.0,37.0
SHOT,8471228,2,02:29,1,1,79.0,4.0
SHOT,8476889,2,06:43,1,1,73.0,-1.0
SHOT,8478495,2,06:51,1,1,53.0,-37.0
SHOT,8476889,2,06:58,1,1,81.0,-8.0
SHOT,8476889,2,07:00,1,1,85.0,-9.0
GIVEAWAY,8471260,2,07:48,1,1,24.0,-33.0
TAKEAWAY,8473994,2,08:12,1,1,97.0,-14.0
SHOT,8475794,2,08:25,1,1,69.0,13.0
TAKEAWAY,8475906,2,08:42,1,1,54.0,-42.0
SHOT,8477406,2,08:55,1,1,20.0,-4.0
SHOT,8478449,2,09:01,1,1,61.0,8.0
SHOT,8476467,2,10:19,1,1,36.0,22.0
SHOT,8471228,2,10:40,1,1,78.0,5.0
SHOT,8470621,2,12:31,1,1,85.0,23.0
GOAL,8478495,2,12:36,2,1,66.0,-24.0
SHOT,8473994,2,13:20,2,1,55.0,28.0
GIVEAWAY,8480036,2,14:16,2,1,24.0,0.0
GOAL,8473994,2,15:06,3,1,65.0,4.0
SHOT,8478449,2,17:12,3,1,79.0,-14.0
SHOT,8477450,2,18:45,3,1,76.0,4.0
SHOT,8471699,2,19:06,3,1,64.0,9.0
TAKEAWAY,8473994,3,00:33,3,1,16.0,31.0
SHOT,8475794,3,02:05,3,1,51.0,-1.0
SHOT,8476467,3,02:07,3,1,43.0,-27.0
TAKEAWAY,8478495,3,03:48,3,1,33.0,22.0
SHOT,8480036,3,04:40,3,1,44.0,-5.0
SHOT,8478449,3,04:44,3,1,67.0,-14.0
TAKEAWAY,8475794,3,05:36,3,1,-53.0,8.0
SHOT,8477450,3,07:17,3,1,5.0,16.0
SHOT,8478495,3,13:37,3,1,68.0,9.0
SHOT,8478449,3,13:43,3,1,84.0,5.0
TAKEAWAY,8475794,3,14:37,3,1,-21.0,-19.0
GIVEAWAY,8471228,3,16:50,3,1,-32.0,26.0
GOAL,8473994,3,18:41,4,1,65.0,-14.0
