play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8476166,1,01:12,0,0,45.0,26.0
TAKEAWAY,8480036,1,01:33,0,0,-34.0,40.0
TAKEAWAY,8476889,1,03:19,0,0,99.0,-8.0
SHOT,8476902,1,03:22,0,0,40.0,-25.0
SHOT,8476902,1,06:10,0,0,-62.0,-7.0
GIVEAWAY,8480036,1,06:44,0,0,97.0,21.0
SHOT,8480036,1,07:01,0,0,46.0,25.0
SHOT,8476889,1,08:23,0,0,84.0,-26.0
SHOT,8480036,1,08:31,0,0,74.0,-19.0
SHOT,8480036,1,09:18,0,0,58.0,17.0
SHOT,8471699,1,11:17,0,0,61.0,-21.0
SHOT,8480036,1,11:27,0,0,79.0,-5.0
GIVEAWAY,8476467,1,13:55,0,0,36.0,-34.0
GIVEAWAY,8480036,1,14:05,0,0,-80.0,38.0
SHOT,8478495,1,15:32,0,0,87.0,-17.0
GIVEAWAY,8471228,1,15:48,0,0,-51.0,-19.0
GIVEAWAY,8471228,1,15:57,0,0,-34.0,-35.0
GIVEAWAY,8476467,1,17:23,0,0,-92.0,-19.0
GIVEAWAY,8475794,1,17:36,0,0,11.0,-33.0
SHOT,8470621,1,17:55,0,0,56.0,4.0
SHOT,8471284,1,19:01,0,0,36.0,-29.0
SHOT,8476467,1,19:29,0,0,53.0,-24.0
SHOT,8475794,2,00:30,0,0,80.0,-15.0
SHOT,8471228,2,02:19,0,0,76.0,-15.0
GIVEAWAY,8470621,2,03:24,0,0,-37.0,2.0
SHOT,8476889,2,04:42,0,0,53.0,8.0
SHOT,8473994,2,04:46,0,0,64.0,8.0
SHOT,8475794,2,05:02,0,0,73.0,8.0
TAKEAWAY,8470794,2,06:05,0,0,-15.0,-36.0
SHOT,8471284,2,07:34,0,0,39.0,-32.0
GOAL,8477406,2,07:37,1,0,82.0,7.0
GIVEAWAY,8476889,2,08:00,1,0,-6.0,-37.0
GIVEAWAY,8475794,2,08:33,1,0,23.0,-39.0
GIVEAWAY,8480036,2,08:58,1,0,36.0,39.0
GOAL,8477450,2,09:43,2,0,78.0,-4.0
GOAL,8476889,2,13:19,3,0,83.0,-2.0
GIVEAWAY,8477406,2,14:20,3,1,-42.0,19.0
GIVEAWAY,8477406,2,14:41,3,1,-14.0,27.0
TAKEAWAY,8475794,2,16:58,3,1,24.0,-35.0
SHOT,8473994,3,00:22,3,1,55.0,-22.0
GIVEAWAY,8471284,3,01:15,3,1,-44.0,-39.0
SHOT,8476166,3,01:24,3,1,-86.0,-21.0
GIVEAWAY,8476902,3,03:05,3,1,29.0,-21.0
SHOT,8470794,3,04:28,3,1,83.0,-5.0
SHOT,8470794,3,04:29,3,1,85.0,-6.0
SHOT,8477406,3,05:11,3,1,80.0,10.0
GIVEAWAY,8480036,3,06:39,3,1,47.0,-37.0
SHOT,8473994,3,07:57,3,1,78.0,-1.0
SHOT,8473994,3,08:12,3,1,-41.0,-36.0
GIVEAWAY,8471750,3,09:26,3,2,-99.0,0.0
GIVEAWAY,8475413,3,10:11,3,2,-49.0,-35.0
SHOT,8478495,3,11:26,3,2,-62.0,-4.0
TAKEAWAY,8480036,3,12:35,3,2,-5.0,12.0
SHOT,8476467,3,12:51,3,2,41.0,-21.0
SHOT,8476902,3,13:05,3,2,46.0,23.0
GIVEAWAY,8471284,3,14:53,3,2,-83.0,-37.0
TAKEAWAY,8473994,3,15:34,3,3,53.0,-38.0
GOAL,8473994,3,15:39,4,3,81.0,5.0
TAKEAWAY,8480036,3,18:01,4,3,-53.0,-14.0
GIVEAWAY,8476902,3,18:13,4,3,-35.0,-8.0
GIVEAWAY,8470621,3,18:23,4,3,-40.0,-4.0
GIVEAWAY,8480036,3,18:38,4,3,96.0,20.0
SHOT,8473994,3,18:48,4,3,72.0,-18.0
GOAL,8475794,3,19:25,5,3,72.0,-4.0
SHOT,8476889,3,19:52,5,3,89.0,5.0
