play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8476902,1,02:34,0,0,59.0,-40.0
SHOT,8473994,1,03:36,0,0,41.0,-16.0
GIVEAWAY,8480036,1,04:05,0,0,-43.0,40.0
GIVEAWAY,8479587,1,04:54,0,0,61.0,-38.0
GIVEAWAY,8476902,1,06:19,0,0,-66.0,39.0
GIVEAWAY,8470794,1,06:57,0,0,-52.0,-35.0
SHOT,8478449,1,07:20,0,0,43.0,2.0
SHOT,8471228,1,07:24,0,0,56.0,20.0
SHOT,8471228,1,07:29,0,0,87.0,8.0
GIVEAWAY,8471284,1,08:25,0,0,-73.0,-38.0
SHOT,8471699,1,11:18,0,0,72.0,-11.0
GIVEAWAY,8471284,1,11:27,0,0,-47.0,37.0
SHOT,8473994,1,13:06,0,0,81.0,-1.0
GIVEAWAY,8476467,1,13:53,0,0,-90.0,-15.0
SHOT,8471284,1,18:40,0,0,31.0,-35.0
SHOT,8478449,1,18:44,0,0,89.0,5.0
TAKEAWAY,8478449,2,00:27,0,0,-98.0,4.0
GIVEAWAY,8470794,2,00:56,0,0,-56.0,-31.0
GIVEAWAY,8480036,2,01:08,0,0,-89.0,38.0
SHOT,8475794,2,01:33,0,0,74.0,-16.0
SHOT,8473994,2,01:35,0,0,74.0,-4.0
SHOT,8476889,2,02:25,0,0,50.0,14.0
SHOT,8475413,2,02:32,0,0,47.0,-9.0
SHOT,8479587,2,03:55,0,0,68.0,42.0
GIVEAWAY,8471228,2,05:35,0,0,29.0,-39.0
SHOT,8475794,2,06:15,0,0,50.0,5.0
SHOT,8475794,2,06:30,0,0,42.0,-21.0
SHOT,8476889,2,08:23,0,0,69.0,-6.0
SHOT,8476889,2,08:25,0,0,76.0,5.0
TAKEAWAY,8479381,2,10:39,0,0,17.0,12.0
GIVEAWAY,8480036,2,13:30,0,0,-81.0,40.0
GIVEAWAY,8471284,2,14:14,0,0,-97.0,-21.0
SHOT,8475794,2,14:27,0,0,14.0,-15.0
SHOT,8473994,2,14:53,0,0,83.0,-17.0
TAKEAWAY,8475794,2,15:00,0,0,67.0,39.0
SHOT,8475906,2,15:04,0,0,37.0,-8.0
SHOT,8479381,2,16:09,0,0,61.0,-34.0
GOAL,8480769,2,16:39,1,0,79.0,-1.0
GIVEAWAY,8473994,2,17:01,1,0,-63.0,4.0
GIVEAWAY,8478449,2,17:29,1,0,16.0,-26.0
SHOT,8470794,2,17:56,1,0,84.0,-11.0
GIVEAWAY,8476902,2,18:35,1,0,-93.0,-37.0
SHOT,8475794,2,19:24,1,0,48.0,-2.0
GOAL,8473994,3,00:09,2,0,69.0,-6.0
SHOT,8475906,3,01:13,2,0,53.0,14.0
GIVEAWAY,8477406,3,02:45,2,0,-69.0,-38.0
GIVEAWAY,8478449,3,04:12,2,1,83.0,34.0
SHOT,8480036,3,04:56,2,1,53.0,-36.0
GIVEAWAY,8477810,3,06:35,2,2,-97.0,-18.0
TAKEAWAY,8477406,3,07:58,2,2,-56.0,38.0
SHOT,8480036,3,09:18,2,2,41.0,1.0
TAKEAWAY,8475794,3,09:57,2,2,-66.0,-17.0
GIVEAWAY,8476889,3,11:41,2,2,97.0,-17.0
GIVEAWAY,8475906,3,13:02,2,2,-97.0,13.0
SHOT,8470794,3,13:21,2,2,88.0,-17.0
GIVEAWAY,8480036,3,13:53,2,2,-97.0,11.0
GIVEAWAY,8471284,3,14:55,2,2,78.0,40.0
SHOT,8471228,3,14:57,2,2,87.0,-2.0
SHOT,8473994,3,18:29,2,2,8.0,-32.0
GIVEAWAY,8471228,3,19:08,2,2,68.0,38.0
SHOT,8475794,4,00:51,2,2,78.0,16.0
SHOT,8475906,4,01:09,2,2,75.0,23.0
SHOT,8471228,4,01:29,2,2,60.0,26.0
TAKEAWAY,8471228,4,03:51,2,2,18.0,-39.0
SHOT,8471228,4,04:39,2,2,65.0,0.0
