play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8480036,1,02:42,0,1,65.0,-33.0
SHOT,8475906,1,02:57,0,1,51.0,16.0
GIVEAWAY,8471750,1,05:21,0,1,-87.0,8.0
SHOT,8478495,1,05:37,0,1,70.0,-17.0
SHOT,8473994,1,05:44,0,1,35.0,27.0
GIVEAWAY,8476467,1,06:03,0,1,-55.0,-38.0
SHOT,8475413,1,06:58,0,1,2.0,30.0
TAKEAWAY,8473994,1,07:33,0,1,14.0,23.0
SHOT,8478495,1,07:47,0,1,78.0,5.0
GOAL,8477406,1,11:04,1,1,57.0,-19.0
SHOT,8480036,1,12:10,1,1,83.0,2.0
TAKEAWAY,8480036,1,12:17,1,1,-33.0,-10.0
SHOT,8475906,1,17:15,1,1,46.0,21.0
GIVEAWAY,8471284,1,17:58,1,1,-49.0,-14.0
GIVEAWAY,8475906,1,18:50,1,1,-96.0,21.0
GIVEAWAY,8471750,1,19:30,1,1,-97.0,-7.0
SHOT,8478495,1,19:54,1,1,77.0,14.0
TAKEAWAY,8479587,2,00:30,1,1,93.0,25.0
SHOT,8470794,2,01:34,1,1,83.0,1.0
SHOT,8475794,2,01:56,1,1,43.0,21.0
SHOT,8471284,2,03:11,1,1,42.0,10.0
SHOT,8471228,2,04:07,1,1,81.0,9.0
TAKEAWAY,8476467,2,08:19,1,1,-63.0,-6.0
SHOT,8471228,2,08:24,1,1,60.0,-36.0
SHOT,8476889,2,10:43,1,1,74.0,-5.0
SHOT,8480036,2,13:07,1,1,85.0,-1.0
GOAL,8480036,2,13:12,2,1,87.0,-20.0
TAKEAWAY,8477406,2,13:50,2,1,-57.0,36.0
SHOT,8480036,2,15:30,2,1,58.0,26.0
SHOT,8475906,2,16:09,2,1,35.0,-37.0
SHOT,8470794,3,00:59,2,1,79.0,-2.0
SHOT,8475794,3,01:08,2,1,49.0,22.0
SHOT,8475906,3,02:26,2,1,57.0,27.0
SHOT,8475794,3,02:44,2,1,60.0,9.0
GIVEAWAY,8471284,3,06:29,2,2,-94.0,18.0
GIVEAWAY,8475413,3,12:46,2,3,9.0,-11.0
TAKEAWAY,8470794,3,14:51,2,3,36.0,-29.0
TAKEAWAY,8478495,3,15:40,2,3,62.0,29.0
GIVEAWAY,8478449,3,16:24,2,3,-68.0,-17.0
SHOT,8475906,3,16:56,2,3,60.0,6.0
SHOT,8473994,3,16:57,2,3,81.0,0.0
TAKEAWAY,8475413,3,17:37,2,3,64.0,-19.0
SHOT,8480036,3,18:01,2,3,76.0,14.0
SHOT,8475413,3,18:09,2,3,74.0,-16.0
SHOT,8480036,3,18:12,2,3,48.0,-17.0
GIVEAWAY,8478449,3,19:28,2,3,7.0,40.0
SHOT,8475794,3,19:35,2,3,84.0,-5.0
