play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8471392,1,04:03,0,0,35.0,30.0
GIVEAWAY,8475730,1,06:01,0,0,-43.0,40.0
SHOT,8475794,1,06:21,0,0,80.0,4.0
SHOT,8475794,1,06:25,0,0,80.0,-4.0
SHOT,8475906,1,07:36,0,0,38.0,22.0
SHOT,8471699,1,08:15,0,0,19.0,-40.0
TAKEAWAY,8471228,1,09:12,0,0,-19.0,18.0
SHOT,8477406,1,10:27,0,0,39.0,-23.0
SHOT,8475906,1,11:22,0,0,59.0,3.0
SHOT,8470621,1,12:20,0,0,67.0,-8.0
TAKEAWAY,8470794,1,15:10,0,1,83.0,36.0
SHOT,8475794,1,16:05,0,1,55.0,16.0
TAKEAWAY,8477450,2,00:52,0,1,-47.0,37.0
SHOT,8475794,2,01:33,0,1,38.0,-18.0
TAKEAWAY,8477450,2,04:19,0,1,-60.0,13.0
SHOT,8470794,2,05:57,0,1,56.0,19.0
GIVEAWAY,8478495,2,06:22,0,1,50.0,-16.0
GIVEAWAY,8471228,2,06:41,0,1,31.0,23.0
SHOT,8480036,2,07:14,0,1,46.0,1.0
SHOT,8476902,2,11:02,0,1,70.0,7.0
SHOT,8476467,2,12:25,0,1,41.0,28.0
TAKEAWAY,8470794,2,14:40,0,1,29.0,-38.0
SHOT,8481641,2,15:01,0,1,35.0,29.0
SHOT,8480036,2,17:20,0,1,73.0,-12.0
SHOT,8471392,2,17:31,0,1,40.0,-19.0
SHOT,8471392,2,17:41,0,1,45.0,12.0
GOAL,8477450,2,18:42,1,1,70.0,1.0
SHOT,8471699,2,19:08,1,1,77.0,-12.0
SHOT,8476889,3,01:27,1,1,77.0,9.0
TAKEAWAY,8471228,3,03:19,1,1,-30.0,33.0
SHOT,8471228,3,03:24,1,1,73.0,11.0
SHOT,8481641,3,05:04,1,1,69.0,-2.0
GOAL,8481641,3,05:04,2,1,73.0,-3.0
SHOT,8480036,3,05:19,2,1,35.0,-24.0
TAKEAWAY,8471260,3,06:50,2,1,-33.0,-14.0
SHOT,8475794,3,15:32,2,2,25.0,-9.0
SHOT,8481641,3,16:44,2,2,50.0,29.0
TAKEAWAY,8471699,3,17:32,2,2,9.0,-8.0
SHOT,8471260,3,19:44,2,2,71.0,3.0
SHOT,8475794,4,00:56,2,2,57.0,-21.0
SHOT,8477406,4,01:39,2,2,72.0,9.0
GOAL,8470794,4,01:39,3,2,75.0,-2.0
