play,player,period,time,goalsFor,goalsAgainst,x,y
GIVEAWAY,8480036,1,01:15,0,0,-21.0,36.0
GIVEAWAY,8475906,1,02:09,0,0,-98.0,22.0
GIVEAWAY,8475413,1,05:40,0,0,92.0,27.0
SHOT,8480036,1,07:43,0,0,40.0,-17.0
GIVEAWAY,8477406,1,08:44,0,0,-32.0,30.0
GIVEAWAY,8476902,1,09:22,0,0,-33.0,-34.0
SHOT,8477406,1,09:50,0,0,-41.0,40.0
GIVEAWAY,8471750,1,11:19,0,0,-97.0,0.0
SHOT,8470621,1,11:42,0,0,74.0,1.0
GIVEAWAY,8473994,1,12:02,0,0,95.0,22.0
TAKEAWAY,8478495,1,12:27,0,1,-30.0,-6.0
GOAL,8478495,1,12:49,1,1,82.0,5.0
TAKEAWAY,8478449,1,13:13,1,1,-9.0,40.0
SHOT,8473994,1,13:50,1,1,79.0,5.0
SHOT,8478495,1,14:24,1,1,36.0,-9.0
SHOT,8473994,1,17:54,1,1,85.0,12.0
SHOT,8473994,2,00:37,1,1,82.0,2.0
SHOT,8473994,2,00:45,1,1,79.0,1.0
SHOT,8470621,2,00:46,1,1,80.0,3.0
SHOT,8475794,2,01:48,1,1,67.0,-29.0
SHOT,8476467,2,02:26,1,1,44.0,-22.0
TAKEAWAY,8476889,2,04:16,1,1,31.0,-13.0
GIVEAWAY,8471260,2,04:54,1,1,-64.0,-37.0
SHOT,8471284,2,05:20,1,1,40.0,24.0
GIVEAWAY,8471284,2,05:27,1,1,27.0,37.0
TAKEAWAY,8470621,2,06:22,1,1,-20.0,-40.0
SHOT,8471699,2,06:35,1,1,58.0,-21.0
SHOT,8476467,2,07:34,1,1,54.0,-33.0
GIVEAWAY,8470621,2,08:59,1,1,95.0,17.0
GIVEAWAY,8475906,2,10:22,1,1,-70.0,39.0
TAKEAWAY,8478449,2,12:58,1,2,-53.0,-40.0
GIVEAWAY,8471392,2,14:06,1,2,-94.0,-24.0
SHOT,8476889,2,15:15,1,3,87.0,-17.0
SHOT,8475794,2,15:45,1,3,78.0,30.0
SHOT,8476902,2,17:47,1,3,53.0,26.0
GIVEAWAY,8471750,2,18:35,1,3,-98.0,0.0
TAKEAWAY,8471260,3,00:39,1,3,66.0,12.0
SHOT,8480036,3,00:44,1,3,62.0,-15.0
SHOT,8470621,3,01:20,1,3,77.0,4.0
SHOT,8475413,3,03:32,1,3,83.0,-22.0
SHOT,8473994,3,03:41,1,3,75.0,1.0
GIVEAWAY,8471750,3,06:05,1,3,-98.0,3.0
GIVEAWAY,8473994,3,06:59,1,3,-14.0,-17.0
SHOT,8476467,3,09:09,1,3,37.0,-24.0
GIVEAWAY,8475794,3,13:35,1,4,-61.0,40.0
SHOT,8476467,3,14:37,1,4,48.0,-22.0
SHOT,8478495,3,14:49,1,4,47.0,-17.0
SHOT,8475906,3,15:04,1,4,49.0,-14.0
SHOT,8475794,3,15:10,1,4,84.0,-15.0
TAKEAWAY,8480036,3,17:48,1,4,38.0,-1.0
