play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8480036,1,00:32,0,0,30.0,39.0
GIVEAWAY,8476902,1,01:08,0,1,-95.0,17.0
GIVEAWAY,8477450,1,02:08,0,1,-73.0,28.0
GIVEAWAY,8477406,1,02:56,0,1,-43.0,-41.0
SHOT,8478495,1,04:26,0,1,77.0,11.0
SHOT,8478449,1,06:02,0,1,58.0,0.0
SHOT,8478449,1,07:00,0,1,66.0,-1.0
GOAL,8478449,1,07:00,1,1,86.0,1.0
GIVEAWAY,8477450,1,07:38,1,1,-11.0,32.0
GIVEAWAY,8475794,1,13:05,1,1,7.0,-38.0
GOAL,8476902,1,13:48,2,1,77.0,-1.0
SHOT,8473994,1,14:18,2,1,12.0,32.0
GIVEAWAY,8480036,1,15:21,2,1,-97.0,0.0
SHOT,8471699,1,16:34,2,1,44.0,-33.0
SHOT,8476166,1,17:42,2,1,4.0,6.0
SHOT,8475413,1,19:27,2,1,30.0,-37.0
SHOT,8473994,1,19:55,2,1,6.0,-24.0
GIVEAWAY,8471750,2,00:29,2,1,-95.0,2.0
GIVEAWAY,8475413,2,04:02,2,1,67.0,-37.0
TAKEAWAY,8476166,2,05:39,2,1,-24.0,21.0
GIVEAWAY,8478449,2,05:54,2,1,-68.0,37.0
SHOT,8476166,2,08:03,2,1,54.0,31.0
GIVEAWAY,8476902,2,09:49,2,1,-34.0,-16.0
GIVEAWAY,8471750,2,14:48,2,1,-88.0,7.0
GIVEAWAY,8480036,2,17:08,2,1,-19.0,-10.0
GIVEAWAY,8480036,2,19:40,2,1,-72.0,41.0
GOAL,8470621,3,01:24,3,1,70.0,-2.0
GIVEAWAY,8470794,3,03:19,3,1,-67.0,40.0
TAKEAWAY,8473994,3,04:09,3,1,98.0,1.0
GIVEAWAY,8476902,3,07:38,3,1,-99.0,0.0
GIVEAWAY,8477406,3,11:49,3,1,-50.0,-37.0
TAKEAWAY,8478495,3,13:24,3,1,2.0,-2.0
GIVEAWAY,8476166,3,17:17,3,1,-98.0,-18.0
TAKEAWAY,8480036,3,18:03,3,1,-61.0,40.0
GOAL,8480036,3,18:05,4,1,15.0,25.0
SHOT,8471284,3,18:27,4,1,29.0,-18.0
SHOT,8478495,3,19:41,4,1,53.0,27.0
