play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8471260,1,01:10,0,0,65.0,-34.0
GIVEAWAY,8476902,1,04:50,0,0,30.0,18.0
SHOT,8475794,1,05:40,0,0,62.0,27.0
SHOT,8471284,1,08:37,0,0,66.0,-42.0
GIVEAWAY,8476902,1,09:00,0,0,-98.0,-17.0
SHOT,8480036,1,09:31,0,0,76.0,-20.0
TAKEAWAY,8478495,1,11:07,0,0,-3.0,11.0
SHOT,8475794,1,13:36,0,0,71.0,12.0
SHOT,8475413,1,16:01,0,0,86.0,25.0
SHOT,8476166,1,17:14,0,0,-6.0,-10.0
SHOT,8473994,1,18:11,0,0,62.0,-9.0
GIVEAWAY,8477810,1,18:19,0,0,-18.0,33.0
GIVEAWAY,8480036,1,19:54,0,0,-90.0,-32.0
SHOT,8471260,2,00:18,0,0,52.0,-13.0
SHOT,8480036,2,01:33,0,0,36.0,-30.0
SHOT,8473994,2,01:53,0,0,56.0,-29.0
SHOT,8470794,2,01:57,0,0,70.0,1.0
SHOT,8471228,2,02:18,0,0,61.0,26.0
SHOT,8470794,2,03:20,0,0,83.0,-4.0
GOAL,8470794,2,03:22,1,0,86.0,-4.0
SHOT,8470794,2,05:26,1,0,79.0,3.0
SHOT,8478495,2,05:42,1,0,84.0,-4.0
SHOT,8477450,2,05:59,1,0,77.0,0.0
GIVEAWAY,8480036,2,06:37,1,0,-99.0,21.0
GIVEAWAY,8477450,2,06:55,1,0,-91.0,-27.0
SHOT,8477450,2,07:11,1,0,34.0,20.0
TAKEAWAY,8471260,2,08:00,1,0,-34.0,3.0
SHOT,8477810,2,08:46,1,0,59.0,-37.0
SHOT,8476166,2,08:53,1,0,2.0,7.0
SHOT,8470621,2,09:26,1,0,54.0,19.0
GIVEAWAY,8471228,2,09:37,1,0,-99.0,-7.0
TAKEAWAY,8471699,2,10:28,1,0,-18.0,39.0
TAKEAWAY,8476902,2,12:15,1,0,-61.0,21.0
SHOT,8476166,2,12:35,1,0,36.0,-30.0
GIVEAWAY,8471260,2,12:54,1,0,-62.0,40.0
SHOT,8471699,2,13:07,1,0,60.0,7.0
SHOT,8475794,2,13:57,1,0,67.0,15.0
GIVEAWAY,8471750,2,16:50,1,0,-98.0,1.0
TAKEAWAY,8471699,2,17:57,1,0,-54.0,2.0
TAKEAWAY,8471260,2,18:16,1,0,52.0,-41.0
TAKEAWAY,8475794,2,18:51,1,0,99.0,-20.0
SHOT,8477450,2,19:22,1,0,81.0,12.0
GIVEAWAY,8480036,2,19:58,1,0,-97.0,13.0
GIVEAWAY,8480036,3,01:35,1,0,31.0,-25.0
SHOT,8475794,3,02:59,1,0,47.0,32.0
GIVEAWAY,8471228,3,03:56,1,0,65.0,38.0
SHOT,8476166,3,04:00,1,0,55.0,18.0
GIVEAWAY,8480036,3,05:08,1,0,-76.0,-1.0
GOAL,8475413,3,06:38,2,0,86.0,-7.0
TAKEAWAY,8473994,3,09:29,2,0,-49.0,27.0
TAKEAWAY,8476902,3,11:39,2,1,-69.0,15.0
SHOT,8475413,3,13:22,2,1,52.0,27.0
TAKEAWAY,8477450,3,15:01,2,1,11.0,-38.0
GIVEAWAY,8477450,3,15:03,2,1,16.0,-39.0
TAKEAWAY,8475794,3,15:51,2,1,28.0,20.0
SHOT,8480036,3,16:14,2,1,57.0,13.0
GIVEAWAY,8478495,3,16:38,2,1,-60.0,36.0
GOAL,8470794,3,18:27,3,1,-8.0,12.0
