play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8480036,1,00:26,0,0,39.0,-22.0
SHOT,8475730,1,01:40,0,0,35.0,25.0
SHOT,8476467,1,03:40,0,0,37.0,-17.0
SHOT,8475730,1,03:47,0,0,39.0,22.0
SHOT,8476889,1,04:46,0,0,78.0,-6.0
SHOT,8473994,1,07:13,0,0,26.0,-16.0
SHOT,8470621,1,08:05,0,0,64.0,-17.0
GIVEAWAY,8475794,1,09:35,0,0,51.0,-29.0
GIVEAWAY,8471260,1,13:12,0,0,94.0,29.0
GIVEAWAY,8475730,1,13:47,0,0,-66.0,41.0
GIVEAWAY,8470794,1,16:09,0,0,-44.0,40.0
GIVEAWAY,8471228,1,16:26,0,0,-14.0,40.0
SHOT,8480036,1,17:39,0,0,42.0,-14.0
TAKEAWAY,8480036,1,18:06,0,0,-77.0,5.0
SHOT,8478495,1,18:09,0,0,67.0,29.0
TAKEAWAY,8476902,2,00:21,0,0,-73.0,40.0
SHOT,8471699,2,01:03,0,0,85.0,-17.0
SHOT,8480036,2,01:36,0,0,62.0,-11.0
GIVEAWAY,8477450,2,02:35,0,0,51.0,-39.0
GIVEAWAY,8480036,2,02:50,0,0,-19.0,-38.0
SHOT,8477450,2,04:18,0,0,78.0,-10.0
GIVEAWAY,8473994,2,06:54,0,0,57.0,11.0
SHOT,8476467,2,08:58,0,0,63.0,9.0
SHOT,8471260,2,09:36,0,0,66.0,1.0
SHOT,8473994,2,10:11,0,0,64.0,21.0
TAKEAWAY,8477450,2,10:16,0,0,99.0,0.0
SHOT,8477450,2,10:49,0,0,80.0,-1.0
SHOT,8477450,2,10:52,0,0,78.0,2.0
SHOT,8470794,2,14:16,0,1,57.0,11.0
SHOT,8478495,2,15:10,0,1,65.0,-4.0
TAKEAWAY,8471260,2,16:49,0,1,-63.0,-16.0
GOAL,8478495,2,17:49,1,1,74.0,8.0
GIVEAWAY,8471228,2,17:59,1,1,-19.0,39.0
SHOT,8470794,2,18:38,1,1,77.0,7.0
TAKEAWAY,8480036,2,19:00,1,1,-29.0,30.0
SHOT,8473994,2,19:33,1,1,66.0,9.0
TAKEAWAY,8473994,3,00:24,1,1,-50.0,-36.0
SHOT,8477450,3,00:52,1,1,64.0,15.0
TAKEAWAY,8470794,3,01:22,1,1,62.0,32.0
SHOT,8471260,3,02:12,1,1,37.0,13.0
GIVEAWAY,8471228,3,02:50,1,1,-98.0,8.0
GIVEAWAY,8475794,3,04:34,1,1,85.0,-24.0
TAKEAWAY,8480036,3,04:40,1,1,-53.0,40.0
TAKEAWAY,8477450,3,05:35,1,1,-57.0,-37.0
SHOT,8471260,3,06:10,1,1,70.0,-6.0
TAKEAWAY,8475794,3,07:07,1,1,62.0,41.0
GIVEAWAY,8471228,3,08:19,1,1,-55.0,41.0
GIVEAWAY,8471228,3,08:27,1,1,5.0,-3.0
GIVEAWAY,8471260,3,08:36,1,1,-63.0,41.0
GOAL,8473994,3,09:06,2,1,84.0,9.0
SHOT,8470621,3,09:26,2,1,60.0,16.0
TAKEAWAY,8471260,3,10:24,2,1,41.0,-39.0
TAKEAWAY,8470794,3,12:21,2,1,99.0,6.0
SHOT,8477406,3,12:51,2,1,78.0,-4.0
TAKEAWAY,8473994,3,13:30,2,1,-54.0,40.0
GIVEAWAY,8476889,3,16:26,2,1,59.0,-39.0
SHOT,8476889,3,17:34,2,1,82.0,24.0
GIVEAWAY,8477406,3,17:56,2,1,24.0,-34.0
GIVEAWAY,8471750,3,18:16,2,1,-81.0,0.0
SHOT,8477450,3,19:32,2,2,42.0,-19.0
SHOT,8475794,4,01:03,2,2,82.0,9.0
SHOT,8480036,4,01:28,2,2,74.0,-22.0
SHOT,8477450,4,01:50,2,2,68.0,-20.0
SHOT,8476902,4,01:58,2,2,47.0,5.0
TAKEAWAY,8473994,4,02:05,2,2,60.0,6.0
GOAL,8473994,4,02:07,3,2,81.0,8.0
