play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8471284,1,03:09,0,1,69.0,-22.0
SHOT,8473994,1,04:03,0,1,59.0,-35.0
GIVEAWAY,8471260,1,05:46,0,1,-66.0,35.0
GIVEAWAY,8476902,1,06:05,0,1,-70.0,31.0
GIVEAWAY,8478449,1,06:51,0,1,93.0,14.0
GIVEAWAY,8475906,1,07:11,0,1,-63.0,35.0
SHOT,8470621,1,07:24,0,1,73.0,-4.0
GIVEAWAY,8477406,1,09:32,0,1,-57.0,-38.0
SHOT,8478449,1,13:42,0,1,60.0,22.0
GOAL,8478495,1,14:08,1,1,77.0,10.0
TAKEAWAY,8477450,1,14:49,1,1,36.0,27.0
GIVEAWAY,8475794,1,15:59,1,1,-49.0,37.0
SHOT,8475906,1,19:16,1,1,36.0,28.0
SHOT,8475794,1,19:16,1,1,83.0,0.0
SHOT,8475906,1,19:32,1,1,-51.0,18.0
GIVEAWAY,8475906,1,19:51,1,1,-16.0,17.0
SHOT,8478449,2,00:26,1,1,33.0,-26.0
SHOT,8476889,2,01:55,1,1,84.0,-21.0
SHOT,8476902,2,03:15,1,1,-62.0,27.0
GIVEAWAY,8471392,2,04:00,1,1,-86.0,-22.0
SHOT,8480036,2,05:52,1,1,66.0,12.0
GIVEAWAY,8476467,2,06:26,1,1,34.0,-35.0
SHOT,8475794,2,09:56,1,1,67.0,14.0
GIVEAWAY,8470621,2,10:52,1,1,75.0,37.0
SHOT,8475794,2,11:05,1,1,76.0,-12.0
GOAL,8477450,2,12:12,2,1,72.0,-2.0
SHOT,8471699,2,14:01,2,2,-23.0,-1.0
GIVEAWAY,8470621,2,14:54,2,2,-34.0,-39.0
GIVEAWAY,8471750,2,15:16,2,2,-76.0,-7.0
GIVEAWAY,8470621,2,15:42,2,2,-51.0,-39.0
SHOT,8471228,2,16:22,2,2,78.0,-4.0
SHOT,8471228,2,16:24,2,2,85.0,1.0
SHOT,8475906,2,16:27,2,2,37.0,-37.0
SHOT,8476467,2,17:33,2,2,84.0,-28.0
SHOT,8478449,2,18:05,2,2,71.0,-5.0
SHOT,8475794,3,00:13,2,2,75.0,-5.0
SHOT,8475794,3,03:02,2,2,77.0,-5.0
SHOT,8471284,3,03:31,2,2,57.0,32.0
SHOT,8471228,3,06:53,2,2,83.0,-15.0
GOAL,8475906,3,06:56,3,2,-35.0,-32.0
GIVEAWAY,8475906,3,09:13,3,2,-83.0,31.0
GIVEAWAY,8480036,3,11:16,3,2,-62.0,31.0
SHOT,8470794,3,16:53,3,3,81.0,-10.0
SHOT,8475906,3,17:26,3,3,64.0,16.0
SHOT,8471699,3,17:57,3,3,36.0,8.0
SHOT,8475794,3,19:41,3,3,-11.0,21.0
SHOT,8473994,4,00:23,3,3,81.0,7.0
