play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8473994,1,00:36,0,0,74.0,6.0
SHOT,8475906,1,00:57,0,0,47.0,-12.0
GIVEAWAY,8475906,1,09:48,0,0,-78.0,-32.0
SHOT,8475413,1,10:23,0,0,37.0,-33.0
TAKEAWAY,8480036,1,10:27,0,0,22.0,30.0
GOAL,8478449,1,10:57,1,0,58.0,24.0
SHOT,8479587,1,13:21,1,0,82.0,7.0
SHOT,8476902,1,13:29,1,0,27.0,7.0
SHOT,8479381,1,13:34,1,0,68.0,3.0
GIVEAWAY,8471418,1,16:31,1,0,-97.0,-9.0
GOAL,8475794,1,16:49,2,0,73.0,7.0
GIVEAWAY,8476889,1,17:06,2,0,39.0,-27.0
GIVEAWAY,8478449,1,17:48,2,0,-11.0,34.0
SHOT,8477406,2,02:14,2,1,81.0,13.0
SHOT,8476902,2,03:57,2,1,61.0,-13.0
GIVEAWAY,8471284,2,06:21,2,1,-94.0,29.0
GIVEAWAY,8475413,2,08:51,2,1,-20.0,-30.0
GIVEAWAY,8471284,2,12:17,2,2,-95.0,-22.0
SHOT,8473994,2,15:22,2,2,82.0,-17.0
SHOT,8473994,2,15:23,2,2,87.0,-4.0
GIVEAWAY,8470794,2,15:24,2,2,41.0,-21.0
SHOT,8475906,2,16:58,2,2,35.0,5.0
SHOT,8471228,2,17:16,2,2,71.0,18.0
TAKEAWAY,8478449,3,00:27,2,3,-35.0,3.0
SHOT,8477406,3,00:46,2,3,42.0,-15.0
GOAL,8478449,3,00:48,3,3,81.0,-5.0
GIVEAWAY,8470794,3,01:56,3,3,-90.0,17.0
SHOT,8479587,3,02:24,3,3,40.0,-2.0
SHOT,8479381,3,02:33,3,3,66.0,-6.0
GIVEAWAY,8471284,3,12:12,3,3,-61.0,19.0
SHOT,8475794,3,14:45,3,3,86.0,32.0
SHOT,8471699,3,17:34,3,3,47.0,14.0
GIVEAWAY,8476902,3,18:14,3,3,-90.0,16.0
SHOT,8475906,3,19:42,3,4,36.0,-23.0
SHOT,8471228,3,19:58,3,4,85.0,-7.0
