play,player,period,time,goalsFor,goalsAgainst,x,y
TAKEAWAY,8475794,1,00:10,0,0,-10.0,4.0
TAKEAWAY,8475794,1,00:32,0,0,45.0,37.0
SHOT,8476902,1,00:37,0,0,67.0,-29.0
SHOT,8471228,1,01:04,0,0,81.0,22.0
GOAL,8476889,1,01:42,1,0,90.0,7.0
SHOT,8476467,1,01:55,1,0,39.0,22.0
SHOT,8478495,1,02:04,1,0,48.0,1.0
TAKEAWAY,8476467,1,02:52,1,0,-51.0,24.0
TAKEAWAY,8476889,1,04:20,1,0,-57.0,-40.0
SHOT,8476902,1,04:37,1,0,59.0,-5.0
TAKEAWAY,8473994,1,05:12,1,0,-58.0,39.0
SHOT,8470621,1,06:49,1,0,58.0,1.0
SHOT,8475794,1,07:22,1,0,66.0,18.0
SHOT,8477450,1,09:02,1,0,42.0,7.0
GIVEAWAY,8476902,1,10:26,1,0,-94.0,-18.0
SHOT,8470794,1,11:36,1,0,76.0,14.0
SHOT,8471699,1,11:41,1,0,79.0,4.0
SHOT,8478449,1,11:48,1,0,73.0,4.0
GOAL,8470794,1,11:50,2,0,81.0,3.0
GIVEAWAY,8470794,1,12:01,2,0,-4.0,-4.0
SHOT,8477406,1,13:40,2,0,51.0,-25.0
GIVEAWAY,8473994,1,13:56,2,0,-23.0,26.0
SHOT,8471260,1,15:35,2,0,61.0,3.0
SHOT,8478495,1,19:48,2,0,72.0,-33.0
SHOT,8478495,2,00:44,2,0,71.0,12.0
TAKEAWAY,8473994,2,02:23,2,0,94.0,-10.0
TAKEAWAY,8470794,2,03:09,2,0,44.0,32.0
SHOT,8476467,2,04:09,2,0,84.0,-13.0
GIVEAWAY,8471699,2,05:30,2,0,-14.0,-36.0
SHOT,8471284,2,06:10,2,0,38.0,1.0
SHOT,8478449,2,07:07,2,0,66.0,27.0
SHOT,8471699,2,07:27,2,0,63.0,12.0
GIVEAWAY,8475906,2,08:33,2,0,-69.0,37.0
SHOT,8478495,2,09:25,2,0,65.0,-15.0
SHOT,8475794,2,09:33,2,0,68.0,-21.0
GIVEAWAY,8473994,2,09:36,2,0,87.0,27.0
TAKEAWAY,8477406,2,09:40,2,0,37.0,40.0
GIVEAWAY,8478449,2,11:00,2,0,32.0,-20.0
SHOT,8471260,2,11:36,2,0,62.0,-24.0
SHOT,8471260,2,11:51,2,0,57.0,7.0
SHOT,8478495,2,12:13,2,0,61.0,15.0
TAKEAWAY,8477450,2,12:56,2,0,81.0,1.0
SHOT,8477450,2,12:57,2,0,80.0,1.0
TAKEAWAY,8480036,2,14:09,2,0,-27.0,-24.0
SHOT,8477450,2,14:51,2,0,-1.0,-35.0
GIVEAWAY,8476902,2,18:23,2,0,93.0,32.0
SHOT,8471228,3,01:50,2,0,56.0,30.0
SHOT,8470794,3,02:50,2,0,85.0,4.0
SHOT,8478449,3,02:55,2,0,62.0,4.0
SHOT,8478495,3,03:35,2,0,78.0,-8.0
TAKEAWAY,8471699,3,05:44,2,0,63.0,36.0
SHOT,8475906,3,07:57,2,0,80.0,-10.0
GIVEAWAY,8477450,3,09:07,2,0,-20.0,38.0
SHOT,8471228,3,12:52,2,0,78.0,16.0
SHOT,8480036,3,13:08,2,0,41.0,32.0
TAKEAWAY,8477450,3,14:17,2,0,-37.0,-5.0
GIVEAWAY,8471750,3,18:56,2,0,-95.0,6.0
GIVEAWAY,8475906,3,19:52,2,0,-65.0,41.0
