play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8477406,1,02:22,0,0,60.0,30.0
SHOT,8479587,1,03:55,0,1,51.0,-5.0
SHOT,8478449,1,07:30,0,1,79.0,-3.0
SHOT,8477406,1,07:36,0,1,61.0,22.0
SHOT,8471228,1,09:21,0,1,73.0,-30.0
SHOT,8477406,1,11:46,0,1,72.0,-11.0
TAKEAWAY,8477450,1,13:56,0,1,-53.0,-26.0
SHOT,8470794,1,15:29,0,1,78.0,5.0
SHOT,8473994,1,16:36,0,1,53.0,-30.0
SHOT,8478449,1,17:14,0,1,58.0,-28.0
GIVEAWAY,8479381,1,17:53,0,1,46.0,38.0
TAKEAWAY,8471699,2,00:21,0,1,-70.0,30.0
GIVEAWAY,8479587,2,00:30,0,1,22.0,38.0
SHOT,8470794,2,00:52,0,1,42.0,-39.0
SHOT,8478449,2,01:51,0,1,79.0,7.0
GIVEAWAY,8480036,2,02:31,0,1,84.0,32.0
SHOT,8476889,2,03:42,0,1,52.0,33.0
SHOT,8470794,2,05:13,0,1,76.0,9.0
GIVEAWAY,8480769,2,05:43,0,1,49.0,-39.0
SHOT,8479587,2,05:52,0,1,58.0,3.0
TAKEAWAY,8473994,2,08:29,0,2,-19.0,16.0
SHOT,8471699,2,08:42,0,2,33.0,5.0
SHOT,8477406,2,09:28,0,2,20.0,22.0
GIVEAWAY,8480769,2,11:26,0,2,66.0,-39.0
GIVEAWAY,8476902,2,12:53,0,2,13.0,35.0
SHOT,8480036,2,15:23,0,2,31.0,38.0
TAKEAWAY,8470794,2,17:56,0,2,35.0,-4.0
GIVEAWAY,8470794,3,00:55,0,2,-69.0,38.0
SHOT,8471228,3,01:51,0,2,83.0,3.0
TAKEAWAY,8477450,3,02:35,0,2,-22.0,38.0
SHOT,8471228,3,03:58,0,3,78.0,4.0
GOAL,8476889,3,07:00,1,3,84.0,2.0
SHOT,8471228,3,07:23,1,3,89.0,-13.0
GIVEAWAY,8480036,3,07:53,1,3,-84.0,-22.0
SHOT,8471699,3,13:18,1,3,60.0,-32.0
SHOT,8475906,3,14:37,1,3,47.0,-4.0
GIVEAWAY,8475906,3,14:55,1,3,45.0,40.0
SHOT,8475794,3,15:38,1,3,7.0,18.0
GIVEAWAY,8470794,3,17:05,1,3,61.0,-14.0
GIVEAWAY,8480036,3,17:14,1,3,-74.0,40.0
TAKEAWAY,8475794,3,17:21,1,3,-23.0,39.0
GIVEAWAY,8471228,3,17:47,1,3,47.0,39.0
SHOT,8471228,3,18:09,1,3,73.0,-12.0
