play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8476889,1,00:58,0,0,81.0,10.0
SHOT,8475794,1,02:28,0,0,65.0,25.0
TAKEAWAY,8470794,1,02:52,0,0,34.0,21.0
SHOT,8471228,1,03:13,0,0,60.0,23.0
SHOT,8478495,1,03:30,0,0,73.0,16.0
SHOT,8477406,1,05:52,0,0,58.0,-19.0
GIVEAWAY,8473994,1,07:10,0,0,96.0,22.0
GIVEAWAY,8477406,1,08:59,0,1,35.0,35.0
SHOT,8478449,1,09:50,0,1,58.0,-29.0
SHOT,8470621,1,09:56,0,1,48.0,8.0
SHOT,8475794,1,10:08,0,1,75.0,-3.0
SHOT,8475794,1,15:38,0,2,59.0,21.0
SHOT,8473994,1,16:49,0,2,53.0,1.0
SHOT,8478495,1,17:55,0,2,77.0,-8.0
GOAL,8480036,1,18:08,1,2,70.0,-13.0
SHOT,8473994,1,18:35,1,2,83.0,9.0
SHOT,8477406,1,18:53,1,2,85.0,-21.0
SHOT,8476889,1,19:55,1,2,54.0,-26.0
SHOT,8470794,1,19:55,1,2,81.0,5.0
GIVEAWAY,8476166,2,02:35,1,2,-94.0,28.0
TAKEAWAY,8476902,2,04:47,1,2,-81.0,22.0
TAKEAWAY,8478495,2,09:33,1,2,-35.0,-34.0
SHOT,8476889,2,10:23,1,2,84.0,36.0
SHOT,8476902,2,13:05,1,2,34.0,18.0
SHOT,8471699,2,13:05,1,2,83.0,-5.0
GIVEAWAY,8476467,2,14:31,1,2,36.0,-34.0
SHOT,8471284,2,15:04,1,2,50.0,21.0
SHOT,8471284,2,15:15,1,2,74.0,-9.0
SHOT,8476902,3,00:24,1,2,37.0,1.0
SHOT,8476902,3,00:31,1,2,38.0,26.0
SHOT,8473994,3,00:33,1,2,73.0,-6.0
TAKEAWAY,8476467,3,01:21,1,2,-31.0,-19.0
SHOT,8475794,3,02:51,1,2,63.0,16.0
SHOT,8479587,3,06:13,1,2,35.0,-31.0
TAKEAWAY,8473994,3,07:57,1,2,69.0,16.0
SHOT,8476467,3,08:37,1,2,41.0,-25.0
GIVEAWAY,8475794,3,09:25,1,3,-48.0,-14.0
GIVEAWAY,8478449,3,10:37,1,3,-56.0,-20.0
SHOT,8476902,3,11:18,1,3,54.0,-29.0
GIVEAWAY,8473994,3,11:41,1,3,-22.0,-36.0
SHOT,8475794,3,12:17,1,3,7.0,-9.0
SHOT,8480036,3,13:49,1,3,54.0,-32.0
GIVEAWAY,8475794,3,18:21,1,3,62.0,39.0
SHOT,8473994,3,18:29,1,3,37.0,-14.0
GOAL,8470794,3,19:55,2,3,80.0,9.0
