play,player,period,time,goalsFor,goalsAgainst,x,y
GIVEAWAY,8471228,1,03:21,0,1,-54.0,-37.0
SHOT,8478495,1,05:32,0,1,-3.0,1.0
GIVEAWAY,8471284,1,09:47,0,1,-97.0,24.0
SHOT,8473994,1,11:37,0,1,52.0,2.0
SHOT,8478495,1,13:23,0,1,47.0,-37.0
SHOT,8471260,1,15:49,0,1,50.0,33.0
SHOT,8475794,1,17:14,0,1,74.0,-21.0
SHOT,8478449,1,19:30,0,1,81.0,2.0
TAKEAWAY,8476902,1,19:39,0,1,30.0,40.0
SHOT,8478495,2,00:17,0,1,59.0,3.0
GIVEAWAY,8480036,2,01:10,0,1,-46.0,3.0
GIVEAWAY,8471392,2,02:06,0,1,-98.0,12.0
GIVEAWAY,8471418,2,05:17,0,1,-98.0,1.0
SHOT,8475794,2,06:01,0,1,77.0,4.0
SHOT,8476467,2,06:50,0,1,85.0,28.0
SHOT,8478495,2,07:46,0,1,52.0,28.0
SHOT,8473994,2,08:24,0,1,14.0,18.0
SHOT,8477406,2,09:00,0,1,75.0,-14.0
SHOT,8471228,2,09:15,0,1,85.0,-29.0
SHOT,8477450,2,09:16,0,1,77.0,-6.0
SHOT,8471260,2,10:38,0,1,85.0,8.0
SHOT,8478495,2,11:20,0,1,68.0,23.0
SHOT,8473994,2,13:14,0,1,81.0,0.0
SHOT,8478449,2,14:08,0,1,74.0,6.0
GIVEAWAY,8477406,2,14:16,0,1,50.0,-31.0
GOAL,8473994,2,14:46,1,1,88.0,15.0
GOAL,8471260,2,15:23,2,1,56.0,18.0
SHOT,8476889,2,16:00,2,1,86.0,-5.0
SHOT,8476166,2,16:06,2,1,33.0,35.0
SHOT,8480036,2,16:11,2,1,36.0,0.0
TAKEAWAY,8476467,2,16:14,2,1,39.0,-37.0
SHOT,8477406,2,18:37,2,1,87.0,36.0
SHOT,8477406,2,18:59,2,1,79.0,-19.0
SHOT,8473994,3,06:27,2,1,83.0,-29.0
SHOT,8471228,3,06:28,2,1,72.0,2.0
SHOT,8480036,3,06:35,2,1,68.0,-24.0
SHOT,8481641,3,07:05,2,1,71.0,4.0
SHOT,8471284,3,07:12,2,1,76.0,29.0
GIVEAWAY,8471284,3,09:55,2,1,-98.0,17.0
SHOT,8477406,3,13:05,2,1,74.0,4.0
TAKEAWAY,8471260,3,16:16,2,1,51.0,39.0
SHOT,8471699,3,18:17,2,1,63.0,-5.0
