play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8471228,1,00:52,0,0,68.0,31.0
TAKEAWAY,8476467,1,01:17,0,0,-60.0,-25.0
SHOT,8471228,1,06:25,0,1,46.0,3.0
GIVEAWAY,8478449,1,06:27,0,1,55.0,6.0
GIVEAWAY,8478449,1,06:35,0,1,51.0,40.0
SHOT,8473994,1,06:58,0,1,39.0,28.0
SHOT,8478495,1,10:35,0,1,60.0,9.0
SHOT,8478449,1,10:42,0,1,56.0,1.0
SHOT,8475794,1,11:10,0,1,62.0,-24.0
SHOT,8471228,1,14:11,0,1,58.0,-6.0
GIVEAWAY,8476166,1,14:30,0,1,-28.0,31.0
GIVEAWAY,8471699,1,16:12,0,1,-18.0,31.0
SHOT,8470794,1,18:04,0,2,70.0,-29.0
GIVEAWAY,8471750,1,18:17,0,2,-97.0,1.0
SHOT,8480036,1,18:53,0,2,40.0,1.0
GIVEAWAY,8471228,2,03:40,0,2,-22.0,-34.0
GIVEAWAY,8480036,2,04:38,0,2,-91.0,30.0
GIVEAWAY,8476889,2,05:07,0,2,15.0,-41.0
SHOT,8479381,2,07:29,0,2,14.0,39.0
GIVEAWAY,8473994,2,12:07,0,2,-46.0,-28.0
GIVEAWAY,8476902,2,13:55,0,2,-51.0,0.0
TAKEAWAY,8478449,2,14:35,0,3,46.0,36.0
SHOT,8476467,2,14:54,0,3,56.0,-3.0
SHOT,8475906,2,15:23,0,3,36.0,1.0
SHOT,8476467,2,15:49,0,3,38.0,-17.0
SHOT,8473994,2,16:07,0,3,78.0,3.0
SHOT,8480036,2,16:17,0,3,70.0,21.0
SHOT,8480036,2,16:38,0,3,72.0,23.0
TAKEAWAY,8471228,2,16:45,0,3,83.0,38.0
SHOT,8475794,2,19:12,0,3,73.0,-23.0
SHOT,8476166,2,19:12,0,3,38.0,-30.0
GOAL,8471228,2,19:12,1,3,76.0,0.0
SHOT,8477406,3,02:21,1,3,72.0,21.0
SHOT,8471228,3,04:05,1,3,59.0,34.0
SHOT,8471228,3,04:08,1,3,72.0,15.0
GOAL,8478449,3,04:09,2,3,80.0,-1.0
SHOT,8479381,3,04:58,2,3,59.0,-28.0
TAKEAWAY,8480036,3,05:09,2,3,-22.0,23.0
SHOT,8480036,3,05:31,2,3,66.0,17.0
SHOT,8475794,3,05:35,2,3,48.0,9.0
GIVEAWAY,8475906,3,05:44,2,3,19.0,38.0
SHOT,8479381,3,07:59,2,3,65.0,-19.0
GIVEAWAY,8477450,3,08:09,2,3,33.0,37.0
GIVEAWAY,8477810,3,08:26,2,3,-32.0,-23.0
GOAL,8470794,3,09:36,3,3,80.0,15.0
SHOT,8471228,3,11:05,3,3,73.0,2.0
GOAL,8471228,3,11:31,4,3,84.0,23.0
SHOT,8475794,3,12:59,4,3,23.0,2.0
SHOT,8470794,3,14:39,4,3,63.0,-28.0
GIVEAWAY,8478495,3,15:52,4,3,34.0,0.0
SHOT,8471228,3,16:16,4,3,67.0,-36.0
SHOT,8480036,3,16:18,4,3,69.0,4.0
GOAL,8475794,3,18:20,5,3,82.0,10.0
SHOT,8470794,3,18:29,5,3,7.0,37.0
GOAL,8471228,3,19:30,6,3,-15.0,-39.0
TAKEAWAY,8477450,3,19:48,6,3,-68.0,35.0
