play,player,period,time,goalsFor,goalsAgainst,x,y
GOAL,8477450,1,00:19,1,0,73.0,15.0
SHOT,8478495,1,00:49,1,0,75.0,23.0
SHOT,8471228,1,01:39,1,0,72.0,0.0
SHOT,8480036,1,02:15,1,0,45.0,22.0
GIVEAWAY,8480036,1,02:28,1,0,-98.0,-10.0
SHOT,8470621,1,04:31,1,0,86.0,-18.0
SHOT,8478495,1,04:37,1,0,66.0,15.0
SHOT,8476889,1,05:41,1,0,75.0,4.0
SHOT,8476889,1,05:43,1,0,77.0,3.0
GOAL,8476889,1,05:46,2,0,74.0,4.0
SHOT,8477810,1,07:08,2,0,42.0,-27.0
SHOT,8478495,1,10:26,2,0,75.0,-4.0
SHOT,8477450,1,13:02,2,0,77.0,2.0
GIVEAWAY,8475906,1,13:53,2,0,54.0,13.0
GIVEAWAY,8477406,1,14:27,2,0,51.0,41.0
GIVEAWAY,8470621,1,14:51,2,0,61.0,-30.0
TAKEAWAY,8471228,1,18:24,2,0,-23.0,30.0
SHOT,8470794,1,18:47,2,0,3.0,29.0
TAKEAWAY,8480036,2,01:44,2,1,-46.0,-16.0
TAKEAWAY,8477450,2,02:40,2,1,-72.0,40.0
TAKEAWAY,8476467,2,03:22,2,1,-24.0,2.0
SHOT,8476467,2,03:34,2,1,78.0,6.0
SHOT,8475794,2,03:42,2,1,49.0,-31.0
SHOT,8477810,2,05:18,2,1,43.0,30.0
SHOT,8470794,2,10:31,2,1,45.0,-19.0
SHOT,8476889,2,10:52,2,1,61.0,20.0
GOAL,8476889,2,10:54,3,1,78.0,2.0
SHOT,8473994,2,11:12,3,1,47.0,23.0
GIVEAWAY,8480036,2,11:52,3,1,22.0,40.0
GIVEAWAY,8470794,2,12:04,3,1,11.0,20.0
GIVEAWAY,8475794,2,13:00,3,1,5.0,-5.0
SHOT,8470794,2,13:22,3,1,73.0,-18.0
TAKEAWAY,8471228,2,15:19,3,1,77.0,40.0
SHOT,8470794,2,16:19,3,1,-74.0,-16.0
SHOT,8477450,2,17:13,3,1,68.0,-11.0
TAKEAWAY,8476902,2,17:17,3,1,-96.0,24.0
TAKEAWAY,8471699,2,18:33,3,1,-58.0,26.0
SHOT,8471260,2,19:13,3,1,-9.0,-36.0
SHOT,8475794,2,19:57,3,1,72.0,-11.0
SHOT,8475794,2,19:58,3,1,79.0,-8.0
SHOT,8480036,3,01:17,3,1,52.0,23.0
SHOT,8478495,3,01:22,3,1,68.0,-1.0
TAKEAWAY,8475413,3,02:05,3,1,-69.0,-38.0
GIVEAWAY,8477406,3,02:43,3,1,-34.0,-26.0
TAKEAWAY,8476889,3,03:32,3,1,5.0,-28.0
SHOT,8476889,3,03:37,3,1,70.0,-9.0
SHOT,8475794,3,04:05,3,1,82.0,8.0
SHOT,8471260,3,04:45,3,1,48.0,28.0
SHOT,8478495,3,05:11,3,1,67.0,-10.0
TAKEAWAY,8471228,3,05:16,3,1,32.0,28.0
SHOT,8478495,3,05:19,3,1,71.0,19.0
SHOT,8480036,3,05:53,3,1,56.0,7.0
GOAL,8470621,3,06:49,4,1,90.0,-8.0
GIVEAWAY,8476467,3,09:33,4,1,-72.0,-6.0
GIVEAWAY,8480036,3,12:28,4,1,-8.0,39.0
TAKEAWAY,8480036,3,12:35,4,1,-97.0,-10.0
TAKEAWAY,8471699,3,13:30,4,1,-34.0,-39.0
SHOT,8476467,3,13:47,4,1,-24.0,-26.0
TAKEAWAY,8476889,3,14:00,4,1,20.0,-9.0
SHOT,8476889,3,14:04,4,1,71.0,-3.0
SHOT,8471260,3,16:28,4,1,5.0,22.0
TAKEAWAY,8473994,3,17:16,4,1,-49.0,-26.0
GIVEAWAY,8476467,3,19:26,4,1,-81.0,-5.0
