play,player,period,time,goalsFor,goalsAgainst,x,y
TAKEAWAY,8478495,1,02:04,0,0,-84.0,-34.0
TAKEAWAY,8475413,1,02:47,0,0,20.0,29.0
SHOT,8477450,1,07:03,0,0,17.0,34.0
GIVEAWAY,8475906,1,07:39,0,0,28.0,-36.0
GIVEAWAY,8478449,1,10:05,0,1,7.0,11.0
TAKEAWAY,8480036,1,11:16,0,1,-96.0,-24.0
GIVEAWAY,8475413,1,12:06,0,1,36.0,-9.0
SHOT,8473994,1,13:54,0,1,37.0,-7.0
SHOT,8475906,1,14:30,0,1,40.0,-26.0
GIVEAWAY,8471284,1,15:13,0,1,-94.0,21.0
SHOT,8475413,1,18:49,0,2,81.0,16.0
SHOT,8475906,2,01:08,0,2,52.0,35.0
SHOT,8471228,2,01:37,0,2,76.0,9.0
SHOT,8477406,2,04:52,0,2,29.0,-5.0
SHOT,8477450,2,06:49,0,2,63.0,-12.0
SHOT,8475794,2,08:20,0,2,41.0,-18.0
GOAL,8478495,2,09:54,1,2,75.0,25.0
SHOT,8476467,2,10:29,1,2,34.0,-27.0
SHOT,8477450,2,10:55,1,2,29.0,-37.0
SHOT,8480036,2,11:58,1,2,37.0,8.0
SHOT,8478449,2,15:50,1,2,68.0,-36.0
SHOT,8475906,2,18:43,1,2,37.0,36.0
SHOT,8477406,2,19:16,1,2,83.0,7.0
SHOT,8471284,3,03:53,1,2,43.0,30.0
TAKEAWAY,8477450,3,04:27,1,2,-66.0,29.0
SHOT,8478449,3,06:13,1,2,89.0,-4.0
SHOT,8480036,3,07:31,1,2,56.0,-21.0
GIVEAWAY,8471284,3,08:07,1,2,-83.0,38.0
TAKEAWAY,8480036,3,09:18,1,2,-21.0,-20.0
TAKEAWAY,8477406,3,09:38,1,2,-97.0,9.0
SHOT,8475794,3,10:18,1,2,58.0,15.0
SHOT,8471392,3,12:34,1,2,22.0,-39.0
SHOT,8471699,3,14:28,1,2,73.0,9.0
SHOT,8477450,3,14:37,1,2,74.0,0.0
GOAL,8477450,3,14:37,2,2,82.0,-10.0
SHOT,8470794,3,15:37,2,2,53.0,21.0
SHOT,8475794,3,17:20,2,2,54.0,20.0
SHOT,8476467,3,17:53,2,2,33.0,12.0
SHOT,8477450,3,19:10,2,2,73.0,-5.0
SHOT,8475906,4,01:47,2,2,64.0,41.0
GOAL,8476902,4,01:54,3,2,64.0,1.0
