play,player,period,time,goalsFor,goalsAgainst,x,y
SHOT,8471260,1,03:16,0,0,76.0,3.0
SHOT,8478449,1,10:07,0,1,61.0,-25.0
SHOT,8471260,1,12:20,0,1,61.0,-16.0
SHOT,8480036,1,13:41,0,1,34.0,22.0
SHOT,8476889,1,15:41,0,1,76.0,2.0
SHOT,8476467,2,04:54,0,2,69.0,1.0
SHOT,8470794,2,06:02,0,2,73.0,-20.0
SHOT,8470794,2,06:16,0,2,80.0,7.0
GIVEAWAY,8477406,2,06:49,0,2,46.0,4.0
GIVEAWAY,8470621,2,08:36,0,2,-32.0,-37.0
GIVEAWAY,8475906,2,09:04,0,2,-42.0,-33.0
SHOT,8477406,2,12:01,0,2,75.0,21.0
GIVEAWAY,8471260,2,12:43,0,2,15.0,-11.0
SHOT,8475794,2,15:31,0,2,79.0,9.0
SHOT,8480036,2,15:50,0,2,55.0,2.0
SHOT,8471392,2,15:57,0,2,38.0,2.0
SHOT,8475794,2,18:00,0,2,51.0,21.0
SHOT,8473994,3,00:26,0,2,56.0,-12.0
TAKEAWAY,8476889,3,01:41,0,2,-46.0,-38.0
GOAL,8473994,3,02:18,1,2,79.0,-1.0
SHOT,8475906,3,02:52,1,2,78.0,12.0
SHOT,8475794,3,02:55,1,2,48.0,-14.0
GIVEAWAY,8473994,3,04:08,1,2,38.0,20.0
SHOT,8471228,3,04:36,1,2,82.0,-14.0
SHOT,8476902,3,05:52,1,2,53.0,30.0
SHOT,8475794,3,06:38,1,2,77.0,-1.0
SHOT,8470794,3,08:16,1,2,71.0,1.0
GOAL,8471228,3,10:46,2,2,69.0,-22.0
GIVEAWAY,8471284,3,11:49,2,2,-96.0,-13.0
GIVEAWAY,8471418,3,12:58,2,2,-96.0,1.0
GOAL,8478449,3,15:51,3,2,77.0,-4.0
SHOT,8476889,3,16:02,3,2,84.0,24.0
GOAL,8477406,3,18:24,4,2,-37.0,-37.0
TAKEAWAY,8480036,3,19:04,4,2,-34.0,22.0
