play,player,period,time,goalsFor,goalsAgainst,x,y
GIVEAWAY,8476889,1,00:34,0,0,-56.0,25.0
SHOT,8471228,1,00:41,0,0,67.0,-5.0
SHOT,8471228,1,01:05,0,0,77.0,-3.0
SHOT,8470794,1,01:27,0,0,77.0,22.0
SHOT,8475906,1,02:08,0,0,40.0,15.0
SHOT,8476902,1,02:56,0,0,46.0,-23.0
GIVEAWAY,8471284,1,03:01,0,0,58.0,40.0
GIVEAWAY,8471699,1,05:07,0,0,-38.0,-41.0
SHOT,8476166,1,05:39,0,0,40.0,34.0
SHOT,8476166,1,05:43,0,0,41.0,-23.0
SHOT,8473994,1,06:02,0,0,77.0,2.0
SHOT,8477450,1,06:39,0,0,65.0,-15.0
SHOT,8476902,1,07:54,0,0,64.0,2.0
SHOT,8471284,1,08:41,0,0,45.0,-25.0
GIVEAWAY,8471418,1,08:55,0,0,-99.0,3.0
SHOT,8471284,1,09:25,0,0,42.0,-25.0
GIVEAWAY,8476467,1,09:51,0,0,19.0,8.0
SHOT,8475906,1,11:18,0,0,61.0,13.0
SHOT,8477406,1,12:15,0,0,71.0,11.0
GIVEAWAY,8476902,1,12:51,0,0,-58.0,41.0
SHOT,8476166,1,16:02,0,0,-17.0,0.0
SHOT,8471228,1,16:25,0,0,69.0,9.0
GIVEAWAY,8476166,1,16:32,0,0,21.0,3.0
GIVEAWAY,8478495,1,18:08,0,0,98.0,21.0
GOAL,8476889,1,18:58,1,0,74.0,3.0
GIVEAWAY,8471228,1,19:20,1,0,28.0,-15.0
GIVEAWAY,8475794,1,19:34,1,0,-59.0,-1.0
SHOT,8471228,2,00:50,1,0,54.0,-3.0
TAKEAWAY,8477450,2,01:42,1,0,-48.0,-40.0
GIVEAWAY,8476467,2,02:08,1,0,-57.0,30.0
TAKEAWAY,8473994,2,03:18,1,0,36.0,35.0
GIVEAWAY,8478449,2,03:45,1,0,62.0,25.0
GIVEAWAY,8471284,2,04:40,1,0,-98.0,14.0
SHOT,8476166,2,06:22,1,0,43.0,-7.0
GIVEAWAY,8476166,2,06:31,1,0,-96.0,-25.0
SHOT,8475906,2,09:48,1,0,61.0,8.0
SHOT,8475794,2,10:41,1,0,73.0,-19.0
GOAL,8470794,2,10:44,2,0,76.0,11.0
SHOT,8473994,2,15:02,2,0,69.0,-13.0
SHOT,8470621,2,15:37,2,0,39.0,-26.0
SHOT,8478495,2,15:41,2,0,70.0,-5.0
SHOT,8478495,2,16:02,2,0,46.0,-21.0
SHOT,8475794,2,16:44,2,0,43.0,-8.0
GIVEAWAY,8475906,2,16:49,2,0,42.0,-15.0
SHOT,8471228,2,17:25,2,0,65.0,21.0
SHOT,8477450,3,00:20,2,0,72.0,15.0
SHOT,8480036,3,01:23,2,0,57.0,-20.0
SHOT,8475794,3,01:25,2,0,76.0,-2.0
SHOT,8475794,3,01:26,2,0,78.0,-1.0
TAKEAWAY,8470621,3,01:31,2,0,76.0,39.0
SHOT,8475906,3,02:29,2,0,39.0,-2.0
SHOT,8478449,3,04:36,2,0,84.0,-11.0
SHOT,8478449,3,04:36,2,0,82.0,-6.0
TAKEAWAY,8477406,3,06:09,2,0,75.0,-38.0
SHOT,8471228,3,07:38,2,0,69.0,3.0
SHOT,8475906,3,08:48,2,0,38.0,5.0
GIVEAWAY,8471228,3,08:58,2,0,98.0,1.0
SHOT,8476166,3,10:01,2,0,44.0,19.0
SHOT,8475413,3,13:09,2,0,18.0,-23.0
SHOT,8473994,3,13:18,2,0,74.0,8.0
SHOT,8477406,3,14:47,2,0,70.0,-16.0
SHOT,8475906,3,14:51,2,0,51.0,-21.0
SHOT,8480036,3,16:36,2,0,38.0,-27.0
TAKEAWAY,8470794,3,19:39,2,1,-10.0,42.0
