,Dates,Location,Opposition,Outcome,defendingDict,goalsAgainst,goalsFor,opposingPlayers,starsPlayers
11,2019-10-25T00:30:00Z,home,24,W,"{1: 'right', 2: 'left', 3: 'right'}",1,2,"[[8478425, 8475764, 8473560, 8474641, 8470612, 8477240, 8478131, 8478491, 8475164, 8479351, 8477941, 8474683, 8476312, 8476854, 8479368, 8480031, 8478873, 8476483, 8475235, 8476913, 8474584], [8476434]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8470794, 8477450, 8476902, 8478449, 8478495, 8475413, 8476166, 8471228, 8475794, 8477810], [8471750]]"
12,2019-10-27T00:00:00Z,home,5,L,"{1: 'right', 2: 'left', 3: 'right'}",3,0,"[[8471677, 8474602, 8478507, 8478866, 8479293, 8475810, 8477955, 8480946, 8475760, 8477969, 8478043, 8479944, 8480945, 8476927, 8471724, 8477404, 8471887, 8471675, 8477244, 8477010, 8480341], [8476899]]","[[8476467, 8475906, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8470794, 8477450, 8476902, 8478449, 8478495, 8475413, 8476166, 8471228, 8475794, 8477810], [8471750]]"
13,2019-10-30T00:30:00Z,home,30,W,"{1: 'right', 2: 'left', 3: 'right'}",3,6,"[[8477987, 8469459, 8470610, 8470595, 8478493, 8475722, 8475220, 8478413, 8479316, 8470600, 8477369, 8476856, 8476463, 8475692, 8477451, 8474716, 8476437, 8476779, 8477942, 8476372], [8471774]]","[[8476467, 8475906, 8480036, 8470621, 8471699, 8476889, 8477406, 8473994, 8470794, 8479381, 8477450, 8476902, 8478449, 8478495, 8477810, 8476166, 8471228, 8475794, 8471284, 8475413], [8471750, 8471418]]"
14,2019-11-02T01:00:00Z,away,21,W,"{1: 'left', 2: 'right', 3: 'left'}",1,2,"[[8473446, 8480069, 8474685, 8477126, 8477501, 8477507, 8479370, 8477435, 8474013, 8477492, 8477456, 8477930, 8479398, 8475820, 8477973, 8476442, 8475172, 8477444, 8474569, 8474717], [8475831]]","[[8476467, 8475906, 8480036, 8470621, 8471699, 8476889, 8477406, 8473994, 8470794, 8479381, 8477450, 8476902, 8478449, 8478495, 8477810, 8476166, 8471228, 8475794, 8471284, 8475413], [8471418]]"
15,2019-11-02T23:00:00Z,home,8,W,"{1: 'right', 2: 'left', 3: 'right'}",1,4,"[[8470642, 8475279, 8475848, 8477503, 8480018, 8479985, 8476393, 8476479, 8473507, 8476422, 8476469, 8474038, 8475738, 8470775, 8479376, 8477476, 8475193, 8477494, 8480829, 8476967, 8477850], [8471679]]","[[8476467, 8475906, 8480036, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478449, 8478495, 8477810, 8476166, 8471228, 8475794, 8471284, 8475413], [8471750]]"
16,2019-11-06T01:30:00Z,home,21,W,"{1: 'right', 2: 'left', 3: 'right'}",1,4,"[[8473446, 8480069, 8474685, 8477126, 8477501, 8477507, 8479370, 8477435, 8474013, 8477492, 8477456, 8477930, 8479398, 8475820, 8477973, 8476442, 8475172, 8477444, 8474569, 8474717], [8475831]]","[[8476467, 8475906, 8480036, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478495, 8475413, 8477810, 8476166, 8471228, 8475794, 8471284, 8478449], [8471750]]"
17,2019-11-10T19:00:00Z,away,52,L,"{1: 'left', 2: 'right', 3: 'left', 4: 'right'}",3,2,"[[8477359, 8480145, 8474579, 8475179, 8477429, 8476392, 8481019, 8471218, 8477940, 8478458, 8479339, 8476400, 8477504, 8481649, 8476460, 8478398, 8473618, 8476470, 8475868, 8477472], [8476945]]","[[8476467, 8480036, 8471284, 8470621, 8471699, 8476889, 8477406, 8473994, 8471260, 8470794, 8477450, 8476902, 8478495, 8475413, 8477810, 8476166, 8471228, 8475794, 8475906, 8478449, 8479945], [8471418]]"
18,2019-11-14T02:30:00Z,away,20,W,"{1: 'left', 2: 'right', 3: 'left'}",1,3,"[[8478397, 8470966, 8474673, 8478585, 8474150, 8476346, 8476356, 8473473, 8479314, 8477497, 8474612, 8474628, 8477496, 8478396, 8473564, 8476873, 8478233, 8477935, 8475869, 8476409], [8475660]]","[[8476467, 8480036, 8471284, 8470621, 8471699, 8476889, 8473994, 8471260, 8470794, 8479381, 8477450, 8476902, 8478495, 8475413, 8477810, 8476166, 8471228, 8475794, 8475906, 8477406, 8478449], [8471750]]"
19,2019-11-15T03:00:00Z,away,23,W,"{1: 'left', 2: 'right', 3: 'left'}",2,4,"[[8474818, 8478444, 8475690, 8476468, 8476410, 8477937, 8470626, 8471303, 8480012, 8480800, 8476344, 8476466, 8479442, 8477500, 8474574, 8477213, 8476871, 8478874, 8480147, 8479772, 8474291], [8474593]]","[[8476467, 8480036, 8471284, 8470621, 8476889, 8473994, 8471260, 8470794, 8479381, 8477450, 8476902, 8478495, 8475413, 8476166, 8471392, 8471228, 8479587, 8475794, 8471699, 8477406, 8477810], [8471418]]"
20,2019-11-16T21:00:00Z,away,22,W,"{1: 'right', 2: 'left', 3: 'right', 4: 'left'}",4,5,"[[8471729, 8476326, 8476915, 8471707, 8475772, 8477498, 8477934, 8475178, 8479466, 8476440, 8478451, 8476472, 8478452, 8476988, 8474040, 8481813, 8476454, 8478402, 8481638, 8480940, 8475163], [8475156]]","[[8476467, 8480036, 8471284, 8470621, 8471699, 8476889, 8473994, 8471260, 8470794, 8479381, 8477450, 8476902, 8478495, 8475413, 8476166, 8471392, 8471228, 8475794, 8477406, 8477810, 8479587], [8471750, 8471418]]"
